主键,名字,脚本,基类,模型,模型尺寸,等级,血条偏移,奖励经验,最小奖励金钱,最大奖励金钱,碰撞大小,移动类型,移动速度,转身速率,基础生命,基础生命回复,基础魔法,基础魔法回复,攻击能力,最小攻击力,最大攻击力,攻击间隔,基础攻击速度,攻击抬手,警戒距离,攻击距离,投射物特效,投射物速率,基础护甲,基础魔抗,攻击类型,防御类型,小地图图标,小地图图标尺寸,作为英雄生命条,作为远古,单位标签,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,饰品1,饰品2,饰品3,饰品4,饰品5,饰品6,饰品7,饰品8
UnitName,Name,vscripts,BaseClass,Model,ModelScale,Level,HealthBarOffset,BountyXP,BountyGoldMin,BountyGoldMax,BoundsHullName,MovementCapabilities,MovementSpeed,MovementTurnRate,StatusHealth,StatusHealthRegen,StatusMana,StatusManaRegen,AttackCapabilities,AttackDamageMin,AttackDamageMax,AttackRate,BaseAttackSpeed,AttackAnimationPoint,AttackAcquisitionRange,AttackRange,ProjectileModel,ProjectileSpeed,ArmorPhysical,MagicalResistance,CombatClassAttack,CombatClassDefend,MinimapIcon,MinimapIconSize,ConsideredHero,IsAncient,UnitLabel,Ability1,Ability2,Ability3,Ability4,Ability5,Ability6,Ability7,Ability8,Ability9,Ability10,Ability11,Ability12,Ability13,Ability14,Ability15,Ability16,AttachWearables,AttachWearables,AttachWearables,AttachWearables,AttachWearables,AttachWearables,AttachWearables,AttachWearables
wave_1,打死汀狗,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_troll_dark_a/n_creep_troll_dark_a.vmdl,0.8,1,-1,28,17,17,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,350,5,100,0,DOTA_UNIT_CAP_MELEE_ATTACK,18,18,1.35,15,0.3,600,125,,,0,0,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_2,耶罗胖,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_ogre_med/n_creep_ogre_med.vmdl,0.9,2,-1,36,20,20,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,900,5,200,0,DOTA_UNIT_CAP_MELEE_ATTACK,35,35,1.35,20,0.3,600,125,,,0,0,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_3,迈达斯,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_kobold/kobold_a/n_creep_kobold_a.vmdl,0.8,3,-1,44,23,23,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,1300,5,300,0,DOTA_UNIT_CAP_RANGED_ATTACK,50,50,1.35,25,0.38,600,600,particles/units/heroes/hero_lich/lich_base_attack.vpcf,900,1,5,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_4,熊二,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_beast/n_creep_beast.vmdl,0.8,4,-1,52,26,26,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,2000,5,400,0,DOTA_UNIT_CAP_MELEE_ATTACK,80,80,1.5,30,0.3,600,125,,,1,5,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_5,水很多,,npc_dota_creature,models/heroes/morphling/morphling.vmdl,0.8,5,-1,60,29,29,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,3000,5,500,0,DOTA_UNIT_CAP_RANGED_ATTACK,98,98,1.5,35,0.5,600,600,particles/units/heroes/hero_morphling/morphling_base_attack.vpcf,900,2,6,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,water_shield,water_damage,,,,,,,,,,,,,,,,,,,,,,
wave_6,夜深夜神夜神,,npc_dota_creature,models/heroes/nerubian_assassin/nerubian_assassin.vmdl,0.8,6,-1,68,32,32,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,4200,5,600,0,DOTA_UNIT_CAP_MELEE_ATTACK,123,123,1.7,40,0.46,600,125,,,2,6,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_7,膜法师,,npc_dota_creature,models/heroes/warlock/warlock.vmdl,1.3,7,-1,76,35,35,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,10000,5,700,5,DOTA_UNIT_CAP_RANGED_ATTACK,132,132,1.7,45,0.3,600,600,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,900,3,7,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,lightning_chain,,,,,,,,,,,,,,,,239,240,241,242,243,244,245,
wave_8,咩~,,npc_dota_creature,models/items/hex/sheep_hex/sheep_hex.vmdl,0.8,8,-1,84,38,38,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,7000,5,800,0,DOTA_UNIT_CAP_MELEE_ATTACK,153,153,1.35,50,0.3,600,125,,,3,7,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_9,这一波我很强,,npc_dota_creature,models/heroes/legion_commander/legion_commander.vmdl,1.6,9,-1,92,41,41,DOTA_HULL_SIZE_HUGE,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,36000,5,900,0,DOTA_UNIT_CAP_MELEE_ATTACK,600,600,1.7,55,0.46,600,125,,,4,8,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,force_rush,courage,,,,,,,,,,,,,,,431,432,433,434,435,,,
wave_10,熊大,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_furbolg/n_creep_furbolg_disrupter.vmdl,0.8,10,-1,100,44,44,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,12000,5,1000,0,DOTA_UNIT_CAP_MELEE_ATTACK,211,211,1.55,60,0.3,600,125,,,4,8,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
wave_11,石头儿子,,npc_dota_creature,models/creeps/neutral_creeps/n_creep_golem_b/n_creep_golem_b.vmdl,0.8,11,-1,110,47,47,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,15000,5,1100,0,DOTA_UNIT_CAP_MELEE_ATTACK,248,248,1.35,65,0.3,600,125,,,5,9,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,golem_skin,,,,,,,,,,,,,,,,,,,,,,,
wave_12,小倩,,npc_dota_creature,models/creeps/lane_creeps/creep_radiant_ranged_diretide/creep_radiant_ranged_diretide.vmdl,0.8,12,-1,120,50,50,DOTA_HULL_SIZE_REGULAR,DOTA_UNIT_CAP_MOVE_GROUND,325,0.5,19000,5,1200,0,DOTA_UNIT_CAP_RANGED_ATTACK,287,287,1,70,0.5,600,600,particles/base_attacks/ranged_tower_good.vpcf,900,6,10,DOTA_COMBAT_CLASS_ATTACK_HERO,DOTA_COMBAT_CLASS_DEFEND_HERO,,,,0,,life_absorb,,,,,,,,,,,,,,,,,,,,,,,
