"DOTA_Tooltip_modifier_wing"	"恶魔之翼"
"DOTA_Tooltip_modifier_wing_Description"	"提升100点全属性<br></br>增加30%%移动速度<br></br>减少技能2秒冷却<br></br>减免20%%的所有伤害"
"DOTA_Tooltip_modifier_singlehero"	"孤胆英雄"
"DOTA_Tooltip_modifier_singlehero_Description"	"提升20点全属性<br></br>增加20%%移动速度<br></br>增加20点攻击<br></br>增加获得的金钱与经验"
"DOTA_Tooltip_modifier_guarding_1"	"守护勇者"
"DOTA_Tooltip_modifier_guarding_1_Description"	"提升20点全属性<br></br>这是雅典娜对你积极守护的奖励"
"DOTA_Tooltip_modifier_guarding_2"	"守护骑士"
"DOTA_Tooltip_modifier_guarding_2_Description"	"提升50点全属性<br></br>这是雅典娜对你积极守护的奖励"
"DOTA_Tooltip_modifier_guarding_3"	"圣骑士"
"DOTA_Tooltip_modifier_guarding_3_Description"	"提升100点全属性<br></br>这是雅典娜对你积极守护的奖励"
"DOTA_Tooltip_modifier_guarding_4"	"圣斗士"
"DOTA_Tooltip_modifier_guarding_4_Description"	"提升200点全属性<br></br>这是雅典娜对你积极守护的奖励"
"DOTA_Tooltip_ability_healthincrease"	"生命提升"
"DOTA_Tooltip_ability_healthincrease_Description"	"消耗1000金币提升雅典娜1000点生命值"
"DOTA_Tooltip_ability_regenincrease"	"回复提升"
"DOTA_Tooltip_ability_regenincrease_Description"	"消耗1000金币提升雅典娜5点生命回复"
"DOTA_Tooltip_ability_armorincrease"	"护甲提升"
"DOTA_Tooltip_ability_armorincrease_Description"	"消耗1000金币提升雅典娜1点护甲"
"DOTA_Tooltip_ability_anneal"	"磨练"
"DOTA_Tooltip_ability_anneal_Description"	"磨练你的金钱和经验，根据造成的伤害将给以你奖励。最高奖励100金钱与经验"
"DOTA_Tooltip_ability_singlehero"	"孤胆英雄"
"DOTA_Tooltip_ability_singlehero_Description"	"提升20点全属性<br></br>增加20%%移动速度<br></br>增加20点攻击<br></br>增加获得的金钱与经验"
"DOTA_Tooltip_ability_athena_heal"	"回复术"
"DOTA_Tooltip_modifier_athena_heal_2"	"无敌"
"DOTA_Tooltip_modifier_athena_heal_3"	"魔免"

"DOTA_Tooltip_ability_athena_reborn"	"雅典娜重生"
"DOTA_Tooltip_ability_tt1"	"享受健康生活"
"DOTA_Tooltip_ability_tt2"	"合理安排时间"
"DOTA_Tooltip_ability_tt3"	"岂因祸福避趋之"
"DOTA_Tooltip_ability_tt3_Description"	"沉迷游戏伤身"
"DOTA_Tooltip_ability_tt4"	"苟利国家生死以"
"DOTA_Tooltip_ability_tt4_Description"	"适度游戏益脑"
"DOTA_Tooltip_ability_tt5"	"谨防受骗上当"
"DOTA_Tooltip_ability_tt6"	"注意自我保护"
"DOTA_Tooltip_ability_tt7"	"拒绝盗版游戏"
"DOTA_Tooltip_ability_tt8"	"抵制不良游戏"

"DOTA_Tooltip_ability_quest_aura"	"任务"

"DOTA_Tooltip_ability_athena_guard"	"埃癸斯的守护"
"DOTA_Tooltip_ability_athena_guard_Description"	"使用后减少雅典娜受到的伤害并提供一个全地图的光环效果。<br></br><font color=\"#5bc0de\">守护光环</font>：提升全地图友军的护甲并减少一定百分比的伤害。<br></br>雅典娜每级<font color=\"#d9534f\">护甲</font>属性提升1点护甲<br></br>雅典娜每级<font color=\"#d9534f\">护甲</font>属性提升0.5%%伤害减免<br></br>雅典娜每级<font color=\"#d9534f\">生命</font>属性提升1秒持续时间"
"DOTA_Tooltip_modifier_ciba"	"大家好我是糍粑"
"DOTA_Tooltip_ability_ciba"	"大家好我是糍粑"
"DOTA_Tooltip_ability_athena_guard_reduce"	"雅典娜伤害减免："
"DOTA_Tooltip_ability_athena_guard_armor"	"光环提供护甲："
"DOTA_Tooltip_ability_athena_guard_def"	"光环提供伤害减免："
"DOTA_Tooltip_ability_athena_guard_duration"	"光环持续时间："
"DOTA_Tooltip_ability_athena_guard_cooldown"	"光环冷却："
"DOTA_Tooltip_ability_athena_heal_Description"	"自动对周围友方单位施放回复术，持续回复生命与魔法。<br></br>雅典娜每级<font color=\"#d9534f\">回复</font>属性提升40点生命回复<br></br>雅典娜每级<font color=\"#d9534f\">回复</font>属性提升8点魔法回复<br></br>雅典娜每级<font color=\"#d9534f\">生命</font>属性提升1秒持续时间"
"DOTA_Tooltip_ability_athena_heal_health"	"每秒生命回复："
"DOTA_Tooltip_ability_athena_heal_mana"	"每秒魔法回复："
"DOTA_Tooltip_ability_athena_heal_duration"	"Duration: "
"DOTA_Tooltip_ability_athena_heal_cooldown"	"冷却时间："

"DOTA_Tooltip_ability_shield_block"	"盾反"
