"npc_dota_hero_antimage"	"恶魔猎手"
"DOTA_Tooltip_ability_demon_hunter"	"恶魔猎手[天赋]"
"DOTA_Tooltip_ability_demon_hunter_Description"	"恶魔猎手能在击杀目标后捕获他的灵魂，每收集一个灵魂将提升1点全属性，上限50。主动使用技能将收集的灵魂献祭，献祭持续时间内施放其他技能都将有额外的效果，献祭持续10秒。同时每献祭100个灵魂将获得全属性10点。"
"DOTA_Tooltip_ability_demon_hunter_Lore"	"掌握恶魔的力量之源"
"DOTA_Tooltip_ability_demon_hunter_Note0"	"该技能冷却时间不受减少冷却效果影响"
"DOTA_Tooltip_modifier_demon_hunter_buff"	"恶魔猎手[天赋]"
"DOTA_Tooltip_modifier_demon_hunter_buff_Description"	"每个恶魔的灵魂能提升1点全属性"
"DOTA_Tooltip_modifier_demon_hunter_spell"	"献祭"
"DOTA_Tooltip_modifier_demon_hunter_spell_Description"	"献祭恶魔的灵魂"
"DOTA_Tooltip_ability_soulblade"	"剔魂之刃"
"DOTA_Tooltip_ability_soulblade_Description"	"对前方扇形目标造成伤害与击退并回复30%%伤害值的生命。处于献祭状态时，每个灵魂将额外造成目标当前生命1%%的伤害。处于变身状态下使用作用范围翻倍。<br></br>-----------------------------------------------<br></br>基础伤害：50 * 技能等级<br></br>敏捷伤害系数：3 * 技能等级<br></br>影响范围：%raidus%<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_soulblade_Lore"	"攻击灵魂是对付恶魔最好的手段"
"DOTA_Tooltip_ability_soulblade_Note0"	"对Boss单位百分比伤害只有一半"
"DOTA_Tooltip_ability_soulring"	"魂力场域"
"DOTA_Tooltip_ability_soulring_Description"	"在周围形成一个魂力场域，吸收周围单位生命值。处于献祭状态时，每个灵魂将提升2%%的伤害。处于变身状态下使用作用范围翻倍。<br></br>-----------------------------------------------<br></br>每秒伤害：敏捷 * 技能等级<br></br>基础伤害：10 * 技能等级<br></br>吸收比例：0.05 * 技能等级<br></br>影响范围：400<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_soulring_Lore"	"吸魂"
"DOTA_Tooltip_ability_magic_blade"	"魔灵战刃"
"DOTA_Tooltip_ability_magic_blade_Description"	"魔灵战刃吸取伤害的目标一定百分比的攻击力，单次吸收攻击力不会超过自身基础攻击力的十倍。对吸取了攻击力的单位将造成额外的伤害<br></br>-----------------------------------------------<br></br>额外伤害：敏捷 * 技能等级<br></br>攻击力吸取：2%% * 技能等级<br></br>持续时间：5<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_magic_blade_Note0"	"同一时间只能吸取一个单位"
"DOTA_Tooltip_modifier_magic_blade_buff"	"禁魔之刃"
"DOTA_Tooltip_modifier_magic_blade_buff_Description"	"该单位提升了攻击"
"DOTA_Tooltip_modifier_magic_blade_debuff"	"禁魔之刃"
"DOTA_Tooltip_modifier_magic_blade_debuff_Description"	"该单位降低了攻击"
"DOTA_Tooltip_ability_metamorphosis"	"变身"
"DOTA_Tooltip_ability_metamorphosis_Description"	"变身成一个巨大的恶魔，获得具有范围分裂的远程强大攻击能力，同时放出具象化的灵魂攻击敌人，灵魂攻击时会回复主身生命。处于献祭状态时，每个灵魂将额外穿透1%%的伤害<br></br>-----------------------------------------------<br></br>攻击力提升：400 * 技能等级<br></br>分裂范围：300<br></br>灵魂数量：20<br></br>灵魂攻击力：3 * 敏捷 * 技能等级<br></br>回复比例：10<br></br>持续时间：40<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_metamorphosis_Lore"	"恶魔的力量"
"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage"	"死神战镰"
"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：灵魂容器</h1>提升50点灵魂收集上限\n<h1>二转：收割</h1>击杀单位将获得两倍的灵魂\n<h1>三转：恶魔大炮</h1>每次攻击都将击退目标\n<h1>四转：恶魔祭坛</h1>开启变身后将处于持续献祭的状态，击杀的单位将立刻完成献祭\n作为死神的标配，能轻易收割敌人的灵魂"
"DOTA_Tooltip_Ability_item_npc_dota_hero_antimage_Lore"	"需要更多的灵魂"
