"npc_dota_hero_crystal_maiden"									"Glacier Witch"

"DOTA_Tooltip_ability_crystal_maiden_0"							"Frost Sigil"
"DOTA_Tooltip_ability_crystal_maiden_0_Description"				"Use to make a target enter the ice state. The unit in the ice state can't move and attack without physical damage. Each time you cast any spell, a frost seal will be generated in place. The frost seal will reduce the surrounding temperature and make the glacier witch's spell more powerful. At the same time, the enemies who step into the frost seal will reduce their movement speed."
"DOTA_Tooltip_ability_crystal_maiden_0_scepter_description_1"	"Enemies who step into frost seal will be frozen %scepter_freeze_duration% sec"
"DOTA_Tooltip_ability_crystal_maiden_0_scepter_description_3"	"Frost seal increases magic immunity when casting on friendly troops"
"DOTA_Tooltip_ability_crystal_maiden_0_mark_duration"			"Sigil Duration: "
"DOTA_Tooltip_ability_crystal_maiden_0_radius"					"Sigil Radius: "
"DOTA_Tooltip_ability_crystal_maiden_0_movespeed_reduce_pct"	"%Sigil Movespeed Reduce: "
"DOTA_Tooltip_ability_crystal_maiden_0_cold_radius"				"Sigil Cold Radius: "
"DOTA_Tooltip_ability_crystal_maiden_0_duration"				"Frozen Duration: "
"DOTA_Tooltip_ability_crystal_maiden_0_Lore"					"Glacier witch is better at using her spell in low temperature"

"DOTA_Tooltip_ability_crystal_maiden_1"							"Chilliness Burst"
"DOTA_Tooltip_ability_crystal_maiden_1_Description"				"Release cold air to the surrounding, causing damage and temporary freezing effect to the impacted target. The target will receive deceleration effect after unfreezing."
"DOTA_Tooltip_ability_crystal_maiden_1_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_crystal_maiden_1_damage"					"Int Damage Factor: "
"DOTA_Tooltip_ability_crystal_maiden_1_frozen_duration"			"Frozen Duration: "
"DOTA_Tooltip_ability_crystal_maiden_1_duration"				"Movespeed Reduce Duration: "
"DOTA_Tooltip_ability_crystal_maiden_1_movespeed"				"Movespeed Reduce: "
"DOTA_Tooltip_ability_crystal_maiden_1_radius"					"Radius: "
"DOTA_Tooltip_ability_crystal_maiden_1_damage_per_cold"			"%Damage Deepen Per Frost Sigil Stack: "
"DOTA_Tooltip_ability_crystal_maiden_1_radius_per_cold"			"Radius Per Frost Sigil Stack: "
"DOTA_Tooltip_ability_crystal_maiden_1_frozen_per_cold"			"Frozen Per Frost Sigil Stack: "

"DOTA_Tooltip_ability_crystal_maiden_2"							"Snow Storm"
"DOTA_Tooltip_ability_crystal_maiden_2_Description"				"Summon a blizzard at the target point. Bombard the ground continuously for a long time, causing damage and slowing down."
"DOTA_Tooltip_ability_crystal_maiden_2_Note0"					"The decelerating effect is superimposed on each other and the duration is reset"
"DOTA_Tooltip_ability_crystal_maiden_2_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_crystal_maiden_2_damage"					"Int Damage Factor: "
"DOTA_Tooltip_ability_crystal_maiden_2_duration"				"Duration: "
"DOTA_Tooltip_ability_crystal_maiden_2_radius"					"Radius: "
"DOTA_Tooltip_ability_crystal_maiden_2_movespeed_reduce"		"Movespeed Reduce Per Stack: "
"DOTA_Tooltip_ability_crystal_maiden_2_interval"				"Interval: "
"DOTA_Tooltip_ability_crystal_maiden_2_slow_duration"			"Slow Duration: "
"DOTA_Tooltip_ability_crystal_maiden_2_interval_per_cold"		"Interval Reduce Per Frost Sigil Stack: "
"DOTA_Tooltip_ability_crystal_maiden_2_radius_per_cold"			"Radius Per Frost Sigil Stack: "

"DOTA_Tooltip_ability_crystal_maiden_3"							"Frozen Aura"
"DOTA_Tooltip_ability_crystal_maiden_3_Description"				"The cooldown of nearby allies is reduced. Have the chance not to use magic after the spell. Active use of the halo effect on the whole map and the effect of doubling。"
"DOTA_Tooltip_ability_crystal_maiden_3_scepter_description_4"	"When releasing a skill, it generates a shield that can resist one damage and stack up to %scepter_max_count% layer"
"DOTA_Tooltip_ability_crystal_maiden_3_cooldown_reduce"			"%Cooldown Reduce: "
"DOTA_Tooltip_ability_crystal_maiden_3_mana_regen"				"Mana Regen: "
"DOTA_Tooltip_ability_crystal_maiden_3_refresh_chance"			"%Refresh Chance: "
"DOTA_Tooltip_ability_crystal_maiden_3_chance_per_cold"			"Refresh Chance Per Frost Sigil Stack: : "

"DOTA_Tooltip_ability_crystal_maiden_4"							"Frost Boundary"
