"npc_dota_hero_ember_spirit"	"Ember Spirit"
"DOTA_Tooltip_ability_fire_spirit_0"									"Fire Trace"
"DOTA_Tooltip_ability_fire_spirit_0_Description"						"Add 1 stack count marks on deal damage, at the end of the duration , apply stackcount * Agi damage. When the Fire Spirit deal damage with skills, each mark increase damage by 1 %%. Active use activating all marks <br></br>immediately."
"DOTA_Tooltip_ability_fire_spirit_0_Lore"								"The flame will mark deeply engraved on enemy`s body."
"DOTA_Tooltip_ability_fire_spirit_0_Note0"								"This skill cooldown no allow to reduce"
"DOTA_Tooltip_ability_fire_spirit_1"									"Flame Raid"
"DOTA_Tooltip_ability_fire_spirit_1_Description"						"Quick shuttle to the target position and attack target, the attack will cause additional damage. Randomly selected six units during the attack. If the unit has Fire Trace, also affect the target.<br></br>-----------------------------------------------<br></br>Attack Damage Coefficient:1 + 0.25 * skill level<br></br>Base Damage: 100 * skill level<br></br>Damage Interval: 0.1<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_fire_spirit_1_Lore"								"Fiery aggression"
"DOTA_Tooltip_ability_fire_spirit_2"									"Tear Slash"
"DOTA_Tooltip_ability_fire_spirit_2_Description"						"Dodge backward a short distance in front of the gas gathering to cut a huge wave, causing damage to the target.<br></br>-----------------------------------------------<br></br>Damage: 2 * Agi * skill level<br></br>Base Damage: 100 * skill level<br></br>Radius: 400<br></br>Max Length: 1000<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_fire_spirit_2_Lore"								"Offensive like endless stars"
"DOTA_Tooltip_ability_fire_spirit_2_Note0"								"Additional damage number 5"
"DOTA_Tooltip_ability_fire_spirit_2_Note1"								"The probability is calculated only after hitting the target"
"DOTA_Tooltip_ability_fire_spirit_3"									"Flame Body"
"DOTA_Tooltip_ability_fire_spirit_3_Description"						"The body of the flame, a certain percentage reduction suffered physical damage, when deal physical damage, also deal percentage with magic damage, this damage also apply Fire Trace.<br></br>-----------------------------------------------<br></br>Flame Proportion: 20 + 2 * skill level<br></br>Duration: 16<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_fire_spirit_3_Lore"								"Offensive like endless stars"
"DOTA_Tooltip_ability_fire_spirit_3_Note0"								"Additional damage number 5"
"DOTA_Tooltip_ability_fire_spirit_3_Note1"								"The probability is calculated only after hitting the target"
"DOTA_Tooltip_ability_fire_spirit_4"									"Flame Heart"
"DOTA_Tooltip_ability_fire_spirit_4_Description"						"To burn their own lives at the expense of obtaining a huge attack bonus, according to the consumption value of life per second to enhance their attack power to enhanceall skills damage, and can attach bonus Fire Trace.<br></br>-----------------------------------------------<br></br>Life Consumed Per Second: 1%% * skill level<br></br>Damage Per Health: 5 * skill level<br></br>Bonus Skill Damage: 15%% * skill level<br></br>Bonus Fire Trace: 1 * skill level<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit"					"Ember"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit_Description"		"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Reduce Flame Heart`s cost of life by half\n<h1>Second Reincarnation</h1>Deal 100%% Cleave attack when using Flame Raid\n<h1>Third  Reincarnation</h1>Cause agility damage of each stack of Fire Trace per second \n<h1>Fourth Reincarnation</h1>Flame Body has 400 radius Flame Raid per sec\nThe remaining ashes on the knife also bring these temperatures"
