"npc_dota_hero_lina"	"Lilith"
"DOTA_Tooltip_ability_lina_0"							"Blazing Lotus"
"DOTA_Tooltip_ability_lina_0_Description"				"Each time you cast a spell, a flame phantom will be generated to cover the whole body. Each flame phantom will cause units in the surrounding %radius% range every %interval% seconds [%damage % * Intelligence] damage and reduce [%reduce% * Intelligence] damage. Each stack of phantom lasts for %duration% seconds."
"DOTA_Tooltip_ability_lina_0_Lore"						"Happy fire"
"DOTA_Tooltip_ability_lina_0_scepter_description_4"		"Basic attack hits %scepter_chance%%% cast Divine Slash, causing %scepter_damage% damage to the intelligence and adding %scepter_ignite_count% to ignite."
"DOTA_Tooltip_modifier_lina_0_buff"						"Blazing Lotus"
"DOTA_Tooltip_modifier_lina_0_buff_Description"			"Every time a spell is cast, a flame phantom will envelop the whole body, causing continuous damage to surrounding units and reducing the damage received."

"DOTA_Tooltip_ability_lina_1"							"Aurora"
"DOTA_Tooltip_ability_lina_1_Description"				"Summon Aurora to cause damage and stun to units in a straight line and reduce their %miss%%% hit rate."
"DOTA_Tooltip_ability_lina_1_base_damage"				"Base damage: "
"DOTA_Tooltip_ability_lina_1_damage"					"Intellect factor: "
"DOTA_Tooltip_ability_lina_1_stun_duration"				"Stun duration: "
"DOTA_Tooltip_ability_lina_1_miss_duration"				"Lost hit rate duration: "
"DOTA_Tooltip_ability_lina_1_distance"					"Distance: "
"DOTA_Tooltip_ability_lina_1_ignite_count"				"Ignite count: "
"DOTA_Tooltip_ability_lina_1_Lore"						"Aurora from another world"
"DOTA_Tooltip_ability_lina_1_scepter_description_1"		"The aurora leaves a burning path, causing burning damage for %scepter_duration% seconds, and causing aurora %scepter_damage_pct%%% damage every second"
"DOTA_Tooltip_modifier_lina_1_debuff"					"Aurora"
"DOTA_Tooltip_modifier_lina_1_debuff_Description"		"The attack has a chance to be lost."

"DOTA_Tooltip_ability_lina_2"							"Fire Butterfly"
"DOTA_Tooltip_ability_lina_2_Description"				"Calls on the Fire Butterfly to strike enemies in the target area, causing a %stun_duration% second stun and sustaining damage to units within the area. Cause a damage every %interval% seconds."
"DOTA_Tooltip_ability_lina_2_base_damage"				"Base damage: "
"DOTA_Tooltip_ability_lina_2_damage"					"Intellect factor: "
"DOTA_Tooltip_ability_lina_2_tick_damage"				"Tick intellect factor: "
"DOTA_Tooltip_ability_lina_2_radius"					"Radius: "
"DOTA_Tooltip_ability_lina_2_duration"					"Duration: "
"DOTA_Tooltip_ability_lina_2_ignite_count"				"Ignite count: "
"DOTA_Tooltip_ability_lina_2_Lore"						"Moths fight the fire, fire butterflies rebirth"
"DOTA_Tooltip_ability_lina_2_scepter_description_2"		"Trigger additional %scepter_count% fire butterflies"

"DOTA_Tooltip_ability_lina_3"							"Ignite"
"DOTA_Tooltip_ability_lina_3_Description"				"When attacks and skills cause damage to the target, they cause a igniting effect on the target."
"DOTA_Tooltip_ability_lina_3_damage"					"Intellect factor: "
"DOTA_Tooltip_ability_lina_3_duration"					"Duration: "
"DOTA_Tooltip_ability_lina_3_Note0"						"Ignite effect cannot be purge"
"DOTA_Tooltip_modifier_lina_3_debuff"					"Ignite"
"DOTA_Tooltip_modifier_lina_3_debuff_Description"		"Suffering sustained damage."

"DOTA_Tooltip_ability_lina_4"							"Rain of chaos"
"DOTA_Tooltip_ability_lina_4_Description"				"Lilith summon many flaming meteor. Upon landing, apply damage and stun."
"DOTA_Tooltip_ability_lina_4_damage"					"Intellect factor: "
"DOTA_Tooltip_ability_lina_4_radius"					"Radius: "
"DOTA_Tooltip_ability_lina_4_stun_duration"				"Stun duration: "
"DOTA_Tooltip_ability_lina_4_duration"					"Duration: "
"DOTA_Tooltip_ability_lina_4_ignite_count"				"Ignite count: "
"DOTA_Tooltip_ability_lina_4_Lore"						"Rain of chaos"
"DOTA_Tooltip_ability_lina_4_scepter_description_3"		"Increase the damage of the rain of chaos %scepter_meteor_damage_pct%%% and make the meteorite have a tracking effect"

"DOTA_Tooltip_ability_item_npc_dota_hero_lina_Description"				"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>The aurora leaves a burning path, causing burning damage for %scepter_duration% seconds, and causing aurora %scepter_damage_pct%%% damage every second\n<h1>Second Reincarnation</h1>Trigger additional %scepter_count% fire butterflies\n<h1>Third Reincarnation</h1>Increase the damage of the rain of chaos %scepter_meteor_damage_pct%%% and make the meteorite have a tracking effect\n<h1>Fourth Reincarnation</h1>Basic attack hits %scepter_chance%%% cast Divine Slash, causing %scepter_damage% damage to the intelligence and adding %scepter_ignite_count% to ignite.\nA garnet from the essence of the fiend of flame"
