"npc_dota_hero_nevermore"	"Tartarus"

"DOTA_Tooltip_ability_nevermore_0"							"Broken Soul"
"DOTA_Tooltip_ability_nevermore_0_Description"				"Whenever Tartarus kills a unit, dealing  damage to enemy units in an %radius% radius area, as well as one strength that increases each time Tartarus kills an enemy. The max bonus strength is equal to the basic strength. When Tartarus dies, if the extra power reaches 21% of the maximum, half of the power consumed will be revived in %trigger_pct%%% second, and the ability will enter %respawn_cooldown% cooldown."
"DOTA_Tooltip_ability_nevermore_0_Lore"						"Hell is the end of the soul"
"DOTA_Tooltip_ability_nevermore_0_scepter_description_1"	"The normal attack can also trigger effect and the cooldown is reduced to %scepter_cooldown%"
"DOTA_Tooltip_ability_nevermore_0_damage"					"Str Damage Factor: "
"DOTA_Tooltip_modifier_nevermore_0"							"Broken Soul"
"DOTA_Tooltip_modifier_nevermore_0_Description"				"Bonus %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% Strength"

"DOTA_Tooltip_ability_nevermore_1"							"Three Velarium"
"DOTA_Tooltip_ability_nevermore_1_Description"				"Summon %shadowraze_count% black shock in front, causing great damage. At the same time, cover the enemy with black screen, which can reduce the damage output of the enemy. After use, you can use the skill again within %combo_duration% seconds, up to 2 times in a row. Increases damage by %scepter_bonus_damage%%% per layer."
"DOTA_Tooltip_ability_nevermore_1_Lore"						"Tartarus's iconic means of soul harvesting."
"DOTA_Tooltip_ability_nevermore_1_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_nevermore_1_damage"					"Str Damage Factor: "
"DOTA_Tooltip_ability_nevermore_1_shadowraze_radius"		"Radius: "
"DOTA_Tooltip_ability_nevermore_1_reduce_damage"			"%Damage Reduce: "
"DOTA_Tooltip_ability_nevermore_1_max_reduce_damage"		"%Max Damage Reduce: "
"DOTA_Tooltip_ability_nevermore_1_stack_reduce_damage"		"%Damage Reduce Per Stack: "
"DOTA_Tooltip_ability_nevermore_1_duration"					"Duration: "
"DOTA_Tooltip_modifier_nevermore_1"							"Black curtain"
"DOTA_Tooltip_modifier_nevermore_1_Description"				"Triple black screen can be used again within the duration."
"DOTA_Tooltip_modifier_nevermore_1_debuff"					"Black curtain"
"DOTA_Tooltip_modifier_nevermore_1_debuff_Description"		"Reduce %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%% outgoing damage"

"DOTA_Tooltip_ability_nevermore_2"							"Hell Earth"
"DOTA_Tooltip_ability_nevermore_2_Description"				"Hell is the source of taltaros' power. It can improve its combat power by calling hell underworld. Cause silence and burning damage to the units in the range, deepen the damage, and increase their own health recovery."
"DOTA_Tooltip_ability_nevermore_2_Lore"						"No one has ever been able to see the secrets of taltaltalos' abyss."
"DOTA_Tooltip_ability_nevermore_2_scepter_description_3"	"During the hell underworld period, it causes 3 black shock every %scepter_interval% seconds"
"DOTA_Tooltip_ability_nevermore_2_base_damage"				"Base Damage: "
"DOTA_Tooltip_ability_nevermore_2_damage"					"Str Damage Factor: "
"DOTA_Tooltip_ability_nevermore_2_radius"					"Radius: "
"DOTA_Tooltip_ability_nevermore_2_health_regen_pct"			"%Health Regen: "
"DOTA_Tooltip_ability_nevermore_2_damage_deepen"			"%Damage Deepen: "
"DOTA_Tooltip_ability_nevermore_2_duration"					"Duration: "
"DOTA_Tooltip_ability_nevermore_2_movespeed_reduce"			"%Movespeed Reduce: "
"DOTA_Tooltip_modifier_nevermore_2"							"Hell Earth"
"DOTA_Tooltip_modifier_nevermore_2_Description"				"提升了%dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%生命回复。"
"DOTA_Tooltip_modifier_nevermore_2_debuff"					"Hell Earth"
"DOTA_Tooltip_modifier_nevermore_2_debuff_Description"		"该单位被沉默并且额外受到%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%的伤害。"

"DOTA_Tooltip_ability_nevermore_3"							"Necromastery"
"DOTA_Tooltip_ability_nevermore_3_Description"				"Each point of strength will passively increase a certain amount of attack power. After opening the skill, the additional attack power is increased by %active_factor% times, and the attack becomes magic damage, but each attack will consume additional magic."
"DOTA_Tooltip_ability_nevermore_3_Lore"						"Harvested souls swirl in and out of the Abysm, empowering the Tartarus to increase the size of his collection."
"DOTA_Tooltip_ability_nevermore_1_scepter_description_4"	"After opening, the attack becomes double damage of physics and magic"
"DOTA_Tooltip_ability_nevermore_3_attack_per_str"			"Bonus Attack Per Str: "
"DOTA_Tooltip_ability_nevermore_3_mana_cost"				"Mana Cost: "
"DOTA_Tooltip_ability_nevermore_3_bonus_attackspeed"		"Attackspeed: "

"DOTA_Tooltip_ability_nevermore_4"							"Requiem of Souls"
"DOTA_Tooltip_ability_nevermore_4_Description"				"Tartarus gathers his captured souls to release them as lines of demonic energy. When channel, it will pull nearby units and be immune to all damage. Requiem of Souls is automatically cast whenever Tartarus dies."
"DOTA_Tooltip_ability_nevermore_4_Lore"						"The captured souls of those past slain are released to ravage their former allies."
"DOTA_Tooltip_ability_nevermore_4_scepter_description_2"	"The soul will return"
"DOTA_Tooltip_ability_nevermore_4_damage"					"Str Damage Factor: "
"DOTA_Tooltip_ability_nevermore_4_soul_count"				"Line Count: "
"DOTA_Tooltip_ability_nevermore_4_distance"					"Distance: "
"DOTA_Tooltip_ability_nevermore_4_fear_duration"			"Fear Duration: "
"DOTA_Tooltip_modifier_nevermore_4"							"Fear"
"DOTA_Tooltip_modifier_nevermore_4_Description"				"该单位正在四处逃窜。"

"DOTA_Tooltip_ability_item_npc_dota_hero_nevermore"						"Satanic"
"DOTA_Tooltip_ability_item_npc_dota_hero_nevermore_Description"			"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>The normal attack can also trigger effect and the cooldown is reduced to %scepter_cooldown%\n<h1>Second Reincarnation</h1>The soul will return\n<h1>Third  Reincarnation</h1>During the hell underworld period, it causes 3 black shock every %scepter_interval% seconds\n<h1>Fourth Reincarnation</h1>After opening, the attack becomes double damage of physics and magic \nSatan's power of hell greatly strengthens the ability of soul control"
