"npc_dota_hero_omniknight"												"Machinist"
"DOTA_Tooltip_ability_omniknight_0"										"Thunder Power"
"DOTA_Tooltip_ability_omniknight_0_Description"							"Use thunder power as weapon to launch thunder force to destroy the enemy; there is also a chance to stun the target. If the target is stunned, it will cast the scourge to it. Each time you stun the target, it increases your strength by 1 point."
"DOTA_Tooltip_ability_omniknight_0_stun_duration"						"Stun Duration:"
"DOTA_Tooltip_ability_omniknight_0_chance"								"%Stun Chance:"
"DOTA_Tooltip_ability_omniknight_0_str_factor"							"Scourge Strength Factor:"
"DOTA_Tooltip_ability_omniknight_1"										"Thunder Strike"
"DOTA_Tooltip_ability_omniknight_1_Description"							"Lightning is instantly concentrated, causing extensive injury and stun."
"DOTA_Tooltip_ability_omniknight_1_base_damage"							"Base Damage Per Level:"
"DOTA_Tooltip_ability_omniknight_1_str_factor"							"Strength Damage Per Level:"
"DOTA_Tooltip_ability_omniknight_1_radius"								"Radius:"
"DOTA_Tooltip_ability_omniknight_1_stun_duration"						"Stun Duration:"
"DOTA_Tooltip_ability_omniknight_2"										"Healing Device"
"DOTA_Tooltip_ability_omniknight_2_Description"							"Rapidly assemble a heal device, recover hp and mp. When cast the thunder strike a chance to reduce the 50%% charge to time, to trigger thunder power when there is a chance not to enter the cooldown."
"DOTA_Tooltip_ability_omniknight_2_health_regen"						"Health Regen Per Level:"
"DOTA_Tooltip_ability_omniknight_2_mana_regen"							"Mana Regen Per Level:"
"DOTA_Tooltip_ability_omniknight_2_health_regen_regen"					"%Health Regen Percent Per Level:"
"DOTA_Tooltip_ability_omniknight_2_chance"								"%Refresh Chance:"
"DOTA_Tooltip_ability_omniknight_2_duration"							"Duration:"
"DOTA_Tooltip_ability_omniknight_2_radius"								"Radius:"
"DOTA_Tooltip_ability_omniknight_3"										"Weightlifting"
"DOTA_Tooltip_ability_omniknight_3_Description"							"Practically use heavy weapons; passively increase strength and attack speed; every %attack_count% attacks grants 1 strength, Increase stun chance and Scourge strength factor."
"DOTA_Tooltip_ability_omniknight_3_bonus_attackspeed"					"Bonus Attackspeed Per Level:"
"DOTA_Tooltip_ability_omniknight_3_bonus_str"							"Bonus Strength Per Level:"
"DOTA_Tooltip_ability_omniknight_3_bonus_chance"						"%Bonus Stun Chance Per Level:"
"DOTA_Tooltip_ability_omniknight_3_bonus_str_factor"					"Bonus Scourge Factor Per Level:"
"DOTA_Tooltip_ability_omniknight_4"										"Thunder Barrier"
"DOTA_Tooltip_ability_omniknight_4_Description"							"Create extreme high pressure all over the body and increase the output frequency of thunder power. Increases your power and paralyzes nearby enemy units every second. When paralyzed, it has a chance to trigger lightning storms to jump between enemies."
"DOTA_Tooltip_ability_omniknight_4_palsy_radius"						"Palsy Radius:"
"DOTA_Tooltip_ability_omniknight_4_storm_str_damage"					"Storm Strength Damage Per Level："
"DOTA_Tooltip_ability_omniknight_4_storm_jump_count"					"Storm Strength Jump Count:"
"DOTA_Tooltip_ability_omniknight_4_storm_chance"						"%Storm Chacne："
"DOTA_Tooltip_ability_omniknight_4_bonus_attackspeed"					"Bonus Attackspeed："
"DOTA_Tooltip_ability_omniknight_4_bonus_movespeed"						"Bonus Movespeed:"
"DOTA_Tooltip_ability_omniknight_4_bonus_resistance"					"Bonus Resistance:"
"DOTA_Tooltip_ability_omniknight_4_bonus_amp_percent"					"%Spell Amplify Per Level:"
"DOTA_Tooltip_ability_omniknight_4_mana_cost"							"Mana Cost:"
"DOTA_Tooltip_ability_omniknight_4_palsy_attackspeed"					"Palsy Attackspeed Per Level："
"DOTA_Tooltip_ability_omniknight_4_palsy_movespeed"						"Palsy Movespeed Per Level"
"DOTA_Tooltip_ability_omniknight_4_palsy_duration"						"Palsy Duration:"
"DOTA_Tooltip_ability_omniknight_4_palsy_interval"						"Palsy Interval:"
"DOTA_Tooltip_ability_item_npc_dota_hero_omniknight"					"Energy Gear"
"DOTA_Tooltip_Ability_item_npc_dota_hero_omniknight_Description"		"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Additional one energy point\n<h1>Second Reincarnation</h1>Make a scourge damage to a 300 range injury\n<h1>Third  Reincarnation</h1>The Heal Device can be moved and the lightning chain can be placed in random three enemy units per second.\n<h1>Fourth Reincarnation</h1>The lightning chain is ejected three times\nAs a mechanic, nothing is more useful than a gear."
"DOTA_Tooltip_Ability_item_npc_dota_hero_omniknight_Lore"				"There is always an extra gear left uninstalled every time the device is repaired."
