"npc_dota_hero_oracle"	"神谕者"

"DOTA_Tooltip_ability_oracle_0"										"Death Prediction"
"DOTA_Tooltip_ability_oracle_0_Description"							"Oracle predicts the fate of a target's death. Successful predictions over a period of time increase intelligence and gain a percentage of experience at the current level. The Oracle deals additional damage to units in the prophetic state, and each successful prophecy increases the additional damage by %bonus_damage_add%%%."
"DOTA_Tooltip_ability_oracle_0_scepter_description_1"				"It can be released to friendly troops. Death will be reborn immediately within the duration."
"DOTA_Tooltip_ability_oracle_0_Lore"								"Enemies, like false prophets, often make up the fate of others."
"DOTA_Tooltip_ability_oracle_0_duration"							"Prognostic Duration: "
"DOTA_Tooltip_ability_oracle_0_intellect_stack"						"Prediction Intellect Reward: "
"DOTA_Tooltip_ability_oracle_0_exp_gain_pct"						"%Prediction Experience Reward: "
"DOTA_Tooltip_ability_oracle_0_bonus_damage"						"%Prediction Bonus Damage: "
"DOTA_Tooltip_ability_oracle_0_Note0"								"After automatic casting, it will actively release random units around it"

"DOTA_Tooltip_modifier_oracle_0"									"预言奖励"
"DOTA_Tooltip_modifier_oracle_0_Description"						"增加%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%点智力"
"DOTA_Tooltip_modifier_oracle_0_debuff"								"死亡预言"
"DOTA_Tooltip_modifier_oracle_0_debuff_Description"					"该单位受到神谕者的额外伤害"
"DOTA_Tooltip_modifier_oracle_0_buff"								"死亡预言"
"DOTA_Tooltip_modifier_oracle_0_buff_Description"					"该单位死亡后会原地复活"

"DOTA_Tooltip_ability_oracle_1"										"Purifying Flames"
"DOTA_Tooltip_ability_oracle_1_Description"							"The Oracle gathers power into an energy that contains the power of cleansing, causing damage to the target area and igniting the target, causing damage to the target during the duration and reducing the damage output. Damage effects can be superimposed. The flame of cleansing adds a healing effect equivalent to sustained injury to itself."
"DOTA_Tooltip_ability_oracle_1_scepter_description_4"				"Every %scepter_interval% seconds, it automatically releases the fire of cleansing sin to the surrounding units."
"DOTA_Tooltip_ability_oracle_1_Lore"								"Like a hall of mirrors might amplify the light of a single candle, the shattered walls of the universe can transform the light of prophecy into a burning torch."
"DOTA_Tooltip_ability_oracle_1_base_damage"							"Base Damage: "
"DOTA_Tooltip_ability_oracle_1_damage"								"Int Damage Factor: "
"DOTA_Tooltip_ability_oracle_1_damage_dot"							"Int Damage Factor Per Second: "
"DOTA_Tooltip_ability_oracle_1_radius"								"Radius: "
"DOTA_Tooltip_ability_oracle_1_duration"							"Duration: "
"DOTA_Tooltip_ability_oracle_1_damage_reduce_pct"					"%Damage Reduce: "

"DOTA_Tooltip_ability_oracle_2"										"Future Peep"
"DOTA_Tooltip_ability_oracle_2_Description"							"The Oracle peeps into the future through the celestial sphere, temporarily boosts intelligence, upgrades skills used over time, and reduces cooling time."
"DOTA_Tooltip_ability_oracle_2_scepter_description_2"				"Increase intelligence by %scepter_bonus_int_pct%%%."
"DOTA_Tooltip_ability_oracle_2_Lore"								"Things are going in two directions"
"DOTA_Tooltip_ability_oracle_2_bonus_intellect"						"Bonus Intellect: "
"DOTA_Tooltip_ability_oracle_2_base_level"							"Base Ability Level: "
"DOTA_Tooltip_ability_oracle_2_util_level"							"Ulti Ability Level: "
"DOTA_Tooltip_ability_oracle_2_cooldown_reduction"					"%Cooldown Reduce: "
"DOTA_Tooltip_ability_oracle_2_duration"							"Duration: "

"DOTA_Tooltip_ability_oracle_3"										"Fate's Edict"
"DOTA_Tooltip_ability_oracle_3_Description"							"Use fate decrees to reinforce a friendly target and increase its speed. The runes in the reinforcement spell trigger automatically when the target is injured, withstanding a certain number of injuries and immunizing against any damage in a short period of time. No number of times was consumed during immune injury. When resisting and during immunization, the source of injury is injured."
"DOTA_Tooltip_ability_oracle_3_scepter_description_3"				"Counterattack deals %scepter_root_radius% damage and twines for %scepter_root_duration% seconds."
"DOTA_Tooltip_ability_oracle_3_Lore"								"An unbreakable prophecy resounds: a chosen ally shall briefly suffer no magics. Other kinds of suffering however..."

"DOTA_Tooltip_ability_oracle_3_base_damage"							"Base Damage: "
"DOTA_Tooltip_ability_oracle_3_damage"								"Int Damage Factor: "
"DOTA_Tooltip_ability_oracle_3_movespeed"							"Movespeed: "
"DOTA_Tooltip_ability_oracle_3_block_count"							"Block Count: "
"DOTA_Tooltip_ability_oracle_3_block_duration"						"Block Duration: "
"DOTA_Tooltip_ability_oracle_3_duration"							"Duration: "

"DOTA_Tooltip_ability_oracle_4"										"Stellar Fall"
"DOTA_Tooltip_ability_oracle_4_Description"							"Heavy pressure is applied to a wide range of units, causing damage and dizziness, which will then affect the unit's central confinement and another dimension. The oracle's skills still work on units in captivity and damage is increased by % bonus_damage%%%."
"DOTA_Tooltip_ability_oracle_4_Lore"								"When a star falls, catastrophic energy is released, and the reverberation of this energy can be felt even in other spaces."
"DOTA_Tooltip_ability_oracle_4_base_damage"							"Base Damage: "
"DOTA_Tooltip_ability_oracle_4_damage"								"Int Damage Factor: "
