"npc_dota_hero_phantom_assassin"	"Shadowmoon Warden"
"DOTA_Tooltip_ability_clusters_stars"									"Clusters Stars"
"DOTA_Tooltip_ability_clusters_stars_Description"						"Making the attack after additional attack once, each combo attack a chance for an additional one times the number of attacks. At the same time, there is a certain chance of critical strikes. Acitive use apply damage and stun.active will regen health when kill target.<br></br>-----------------------------------------------<br></br>Combo rate: 25%%<br></br>Critical rate: 30<br></br>Critical strike factor: 1 + 0.25 * skill level<br></br>Damage: 2 * attack * skill level<br></br>Duration: 2<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_clusters_stars_Lore"								"Offensive like endless stars"
"DOTA_Tooltip_ability_clusters_stars_Note0"								"Additional damage number 5"
"DOTA_Tooltip_ability_clusters_stars_Note1"								"命中目标后才会计算几率"
"DOTA_Tooltip_modifier_clusters_stars"									"Clusters Stars"
"DOTA_Tooltip_modifier_clusters_stars_Description"						"Making the attack additional attack once, each attack has a 25%% chance to increase the number of additional attacks. At the same time, there is a chance of a 30%%"
"DOTA_Tooltip_ability_moonlight_projection"								"Moonlight Projection"
"DOTA_Tooltip_ability_moonlight_projection_Description"					"Flash to the target point, and damage to the unit.<br></br>-----------------------------------------------<br></br>Attack damage coefficient:1 + 0.25 * skill level<br></br>Maximum distance:550 + 50&nbsp;* skill level<br></br>Radius:200<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_moonlight_projection_Lore"						"开启银月之门"
"DOTA_Tooltip_ability_shadowmoon_wheeldance"							"Shadow Moon Wheel Dance"
"DOTA_Tooltip_ability_shadowmoon_wheeldance_Description"				"Fast rotation around a week to cut the surrounding units apply short stun and reduce the 100%% attack / move speed, reduce 10%% cooldown per kill<br></br>-----------------------------------------------<br></br>Attack power damage coefficient:1.25 + 0.25&nbsp;* skill level<br></br>Radius:300<br></br>Duration:3<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_shadowmoon_wheeldance_Lore"						"As a flurry of harvest"
"DOTA_Tooltip_modifier_shadowmoon_wheeldance"							"Shadow Moon Wheel Dance"
"DOTA_Tooltip_modifier_shadowmoon_wheeldance_Description"				"The unit has been slowed down."
"DOTA_Tooltip_ability_shadow_rift_garrotte"								"Shadow Rift Garrotte"
"DOTA_Tooltip_ability_shadow_rift_garrotte_Description"					"Fast shuttle in the battlefield, resulting in devastating damage<br></br>-----------------------------------------------<br></br>Damage coefficient of each shuttle attack:1 + 1&nbsp;* skill level<br></br>Duratiom:3<br></br>Range:900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_abstrusemoon_shadow"								"Abstruse Moon Shadow"
"DOTA_Tooltip_ability_abstrusemoon_shadow_Description"					"Each attack will enhance 4%% of basic attack power, Reduce the upper limit of the target's agility and turn 50%% into your life"
"DOTA_Tooltip_ability_abstrusemoon_shadow_Lore"							"Endless months"
"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff"						"Abstruse Moon Shadow"
"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff_Description"			"每次攻击后提升攻击力<br></br>攻击提升：<font color='#FFB90F'>技能等级*2</font><br></br>持续时间：<font color='#FFB90F'>10</font>"
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin"				"Artemis's weapon"
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Description"	"<h1>Exclusive Equipment</h1> All property, health and mana increase %property%%%\n<h1>First Reincarnation</h1>Talent`s percentage of lifesteal to 100%%\n<h1>Second Reincarnation</h1>Talent reduction effect is promoted to agi * 2\n<h1>Third  Reincarnation</h1>Crash will cause short time dizziness and double damage to the target\n<h1>Fourth Reincarnation</h1>Release Shadow Rift Garrotte while refreshing Shadow Moon Wheel Dance and reduce base cooldown to 0.5\nAs a legacy of the ancient blood moon explosion, this weapon has been baptized by two moon marks."
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Lore"			"a perfect weapon"
