"DOTA_Tooltip_ability_spectre_0"	"百鬼夜行"
"DOTA_Tooltip_ability_spectre_0_Description"	"每次攻击时在周围生成一个鬼影。鬼影最多持续%duration%秒或造成%attack_count%次攻击。鬼影拥有幽鬼%health%%%的血量。鬼影继承幽鬼所有技能的伤害效，但只造成%damage%%%的伤害。最多同时存在%unit_limit%个鬼影。主动使用时可引爆周围所有鬼影。"
"DOTA_Tooltip_ability_spectre_0_scepter_description_1"	"鬼影造成%scepter_illusion_damage%%%的伤害"

"DOTA_Tooltip_ability_spectre_1"	"暗影之径"
"DOTA_Tooltip_ability_spectre_1_Description"	"幽鬼向目标点开辟一条暗影之径，被击中的单位会被缠绕，路径上的单位会不断陷入受到减速并持续受到伤害，幽鬼能随时传送至匕首的位置。"
"DOTA_Tooltip_ability_spectre_1_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_spectre_1_damage"			"力量伤害系数："
"DOTA_Tooltip_ability_spectre_1_distance"		"最大距离："
"DOTA_Tooltip_ability_spectre_1_movespeed"		"%暗影之径减速："
"DOTA_Tooltip_ability_spectre_1_root_duration"	"缠绕持续时间："
"DOTA_Tooltip_ability_spectre_1_duration"		"暗影之径持续时间："
"DOTA_Tooltip_ability_spectre_1_per_damage"		"暗影之径每秒力量伤害系数："
"DOTA_Tooltip_ability_spectre_1_0"	"传送"
"DOTA_Tooltip_ability_spectre_1_0_Description"	"传送到暗影匕首的位置"
"DOTA_Tooltip_modifier_spectre_1_root"	"缠绕"
"DOTA_Tooltip_modifier_spectre_1_root_Description"	"该单位被缠绕。"
"DOTA_Tooltip_modifier_spectre_1_debuff"	"暗影之径"
"DOTA_Tooltip_modifier_spectre_1_debuff_Description"	"该单位被减速。"

"DOTA_Tooltip_ability_spectre_2"	"祸乱之触"
"DOTA_Tooltip_ability_spectre_2_Description"	"幽鬼的能量极不稳定，每次攻击都会消耗%health_cost%%%的最大生命值，并对目标造成不稳定的魔法伤害，幽鬼每次受到的伤害会增加下次伤害的浮动上限。主动使用时消耗自身当前生命值%active_health_cost%%%的伤害，并对周围的单位造成消耗生命值一定比例的伤害并使其陷入混乱。之后根据伤害量回复一定生命值。"
"DOTA_Tooltip_ability_spectre_2_scepter_description_2"	"最低浮动系数提升为最高浮动系数的%scepter_min_damage_pct%%%"
"DOTA_Tooltip_ability_spectre_2_damage"	"最大力量伤害系数："
"DOTA_Tooltip_ability_spectre_2_damage_limit"	"最大浮动系数："
"DOTA_Tooltip_ability_spectre_2_damage_add"	"每次伤害增加浮动上限："
"DOTA_Tooltip_ability_spectre_2_damage_active"	"生命消耗伤害系数："
"DOTA_Tooltip_ability_spectre_2_shock_duration"	"混乱持续时间："
"DOTA_Tooltip_ability_spectre_2_radius"	"影响范围："
"DOTA_Tooltip_ability_spectre_2_heal"	"回复比例："
"DOTA_Tooltip_ability_spectre_2_Note0"	"消耗生命会触发千炼恶鬼效果"
