"npc_dota_hero_templar_assassin"	"Revelator"
"DOTA_Tooltip_ability_templar_assassin_0"								"MeiYin"
"DOTA_Tooltip_ability_templar_assassin_0_Description"					"Generate shields absorb damage. Damage exceeds a certain percentage of maximum health to consume shields. Shield stack up to %max_charges% charge. Removes debuffs When consuming shields.\nDISPEL TYPE: Strong Dispel"
"DOTA_Tooltip_ability_templar_assassin_0_Note0"							"shields can stack"
"DOTA_Tooltip_ability_templar_assassin_0_cost_pct_per_stack"			"%Damage Threshold Per Stack:"
"DOTA_Tooltip_ability_templar_assassin_0_aghanim_description"			"Cause %scepter_damage% agility damage to %scepter_radius% radius enemies when shield broken."
"DOTA_Tooltip_modifier_templar_assassin_0_shield"						"MeiYin"
"DOTA_Tooltip_modifier_templar_assassin_0_shield_Description"			"Absorb damage, Do not cost shield when damage less than %dMODIFIER_PROPERTY_TOOLTIP%%% maximum health."

"DOTA_Tooltip_ability_templar_assassin_1"								"SanHua"
"DOTA_Tooltip_ability_templar_assassin_1_Description"					"Target to launch a strong blow, temporarily break up a certain percentage of the target's soul and cause great harm. Been broken souls will take a percentage of the current life goals, attack speed, movement speed and damage output, as a percentage of the damage will deepen. Been broken soul will slow recovery and return of the property. Meanwhile behind the target sector units will be splash damage. When the target die whih this skill, the percentage damage will be applied to the sputtering unit. It will enhance the sputtering distance and angle of %bonus_pct%%% of the time after use ShenYin."
"DOTA_Tooltip_ability_templar_assassin_1_Lore"							"Scatter all the flashy"
"DOTA_Tooltip_ability_templar_assassin_1_Note0"							"This ability comes with an additional damage of a normal attack but will not be counted in the splash effect."
"DOTA_Tooltip_ability_templar_assassin_1_base_damage"					"Base Damage Per Level:"
"DOTA_Tooltip_ability_templar_assassin_1_damage"						"Agility Factor Per Level:"
"DOTA_Tooltip_ability_templar_assassin_1_health_pct"					"%Health Damage Percent:"
"DOTA_Tooltip_ability_templar_assassin_1_angle"							"Angle:"
"DOTA_Tooltip_ability_templar_assassin_1_distance"						"Distance:"
"DOTA_Tooltip_ability_templar_assassin_1_duration"						"Duration:"
"DOTA_Tooltip_modifier_templar_assassin_1_debuff"						"SanHua"
"DOTA_Tooltip_modifier_templar_assassin_1_debuff_Description"			"Slow recovery of attributes"

"DOTA_Tooltip_ability_templar_assassin_2"								"ShenYin"
"DOTA_Tooltip_ability_templar_assassin_2_Description"					"When casting a point, it will quickly move to the target position, and when casting a spell on the target, it will pull the target in front of itself, causing damage to the colliding unit. The movement speed will be increased after casting the spell. When casting a spell on an enemy in a scattered soul state, it immediately restores the target's dispersed soul, but causes an equal amount of dizziness depending on the remaining duration of the state."
"DOTA_Tooltip_ability_templar_assassin_2_Lore"							"This mysterious power can easily tease the enemy."
