"npc_dota_hero_windrunner"											"风行者"

"DOTA_Tooltip_ability_windrunner_0"									"追星逐月"
"DOTA_Tooltip_ability_windrunner_0_Description"						"每次攻击发射两枚箭矢，额外箭矢造成魔法伤害。主动使用时集中火力攻击一个目标并在持续时间内提升大量攻速。"
"DOTA_Tooltip_ability_windrunner_0_scepter_description_1"			"追星逐月魔法箭矢造成%scepter_damage%倍敏捷的额外伤害"
"DOTA_Tooltip_ability_windrunner_0_Lore"							"风行者的诸多弓技中，有一种用连续不断的攻击来缠住敌人让其难以逃脱的箭矢。"
"DOTA_Tooltip_ability_windrunner_0_chance"							"额外攻击几率："
"DOTA_Tooltip_ability_windrunner_0_attacktime"						"攻击间隔："
"DOTA_Tooltip_ability_windrunner_0_bonus_attack_range"				"额外攻击距离："
"DOTA_Tooltip_ability_windrunner_0_bonus_attackspeed"				"额外攻速："
"DOTA_Tooltip_ability_windrunner_0_duration"						"Duration: "
"DOTA_Tooltip_modifier_windrunner_0_active"							"追星逐月"
"DOTA_Tooltip_modifier_windrunner_0_active_Description"				"攻击速度提升了%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%。"

"DOTA_Tooltip_ability_windrunner_1"									"多重射击"
"DOTA_Tooltip_ability_windrunner_1_Description"						"风行者为她的弓蓄力，射出5支强力的箭矢，最长可蓄力%abilitychanneltime%秒，其间可以打断蓄力，蓄力时间越长箭矢越集中伤害越高射程越远，蓄力时间越短冷却时间越短。一共射出两轮箭矢，第二轮箭矢造成魔法伤害。"
"DOTA_Tooltip_ability_windrunner_1_scepter_description_4"			"普通攻击有%scepter_chance%%%的几率触发多重射击"
"DOTA_Tooltip_ability_windrunner_1_Lore"							"在早年的训练生涯，风行者学会了射出足以破开树木击中目标的强力箭矢。"
"DOTA_Tooltip_ability_windrunner_1_base_damage"						"Base Damage: "
"DOTA_Tooltip_ability_windrunner_1_damage"							"攻击力伤害系数："
"DOTA_Tooltip_ability_windrunner_1_range"							"最大距离："
"DOTA_Tooltip_ability_windrunner_1_cooldown_reduction"				"%最大冷却缩减："
"DOTA_Tooltip_ability_windrunner_1_bonus_range"						"最大额外距离："
"DOTA_Tooltip_ability_windrunner_1_bonus_damage_pct"				"%最大额外伤害："

"DOTA_Tooltip_ability_windrunner_2"									"狂风"
"DOTA_Tooltip_ability_windrunner_2_Description"						"召唤狂风精灵环绕自身，当风行者受到伤害时狂风精灵会抵挡伤害并成长为飓风向目标冲去。飓风会吹起遇到的单位并减少其护甲。"
"DOTA_Tooltip_ability_windrunner_2_Lore"							"运用风的力量也是弓箭手的必修课"
"DOTA_Tooltip_ability_windrunner_2_spirit_count"					"精灵数量："
"DOTA_Tooltip_ability_windrunner_2_base_damage"						"Base Damage: "
"DOTA_Tooltip_ability_windrunner_2_damage"							"Agi Damage Factor: "
"DOTA_Tooltip_ability_windrunner_2_stun_duration"					"吹飞时间："
"DOTA_Tooltip_ability_windrunner_2_distance"						"最大距离："
"DOTA_Tooltip_ability_windrunner_2_armor_reduce"					"护甲降低："
"DOTA_Tooltip_ability_windrunner_2_reduce_duration"					"减甲持续时间："

"DOTA_Tooltip_ability_windrunner_3"									"风行"
"DOTA_Tooltip_ability_windrunner_3_Description"						"风行者利用风的流动增加自身移动速度。主动使用时再次提升移速并闪避一切物理攻击，同时降低周围敌人的移动速度。风行时突破移速上限并且无视地形移动。"
"DOTA_Tooltip_ability_windrunner_3_Lore"							"风行者运用疾风之力抵御来临的攻击。"
"DOTA_Tooltip_ability_windrunner_3_bonus_movespeed"					"移速提升："
"DOTA_Tooltip_ability_windrunner_3_movespeed_pct"					"%主动移速："
"DOTA_Tooltip_ability_windrunner_3_movespeed_reduce_pct"			"%移速降低："
"DOTA_Tooltip_ability_windrunner_3_radius"							"减速范围："
"DOTA_Tooltip_modifier_windrunner_3"								"风行"
"DOTA_Tooltip_modifier_windrunner_3_Description"					"闪避所有物理攻击"
"DOTA_Tooltip_modifier_windrunner_3_buff"							"风行"
"DOTA_Tooltip_modifier_windrunner_3_buff_Description"				"暂时突破移速上限并且无视地形移动。"

"DOTA_Tooltip_ability_windrunner_4"									"箭矢风暴"
"DOTA_Tooltip_ability_windrunner_4_Description"						"将箭矢射向天空，加持风之狂暴后对大范围的敌人进行毁灭性打击。箭矢有一定几率造成魔法伤害。"
"DOTA_Tooltip_ability_windrunner_4_scepter_description_2"			"箭矢风暴增加%scepter_bonus_duration%秒持续时间并具有跟踪效果"
"DOTA_Tooltip_ability_windrunner_4_scepter_description_3"			"每隔%scepter_interval%秒自动对周围的敌人释放一波箭矢风暴，持续%scepter_duration%秒"
"DOTA_Tooltip_ability_windrunner_4_Lore"							"箭雨"
"DOTA_Tooltip_ability_windrunner_4_base_damage"						"Base Damage: "
"DOTA_Tooltip_ability_windrunner_4_damage"							"攻击力伤害系数："
"DOTA_Tooltip_ability_windrunner_4_damage_radius"					"箭矢伤害范围："
"DOTA_Tooltip_ability_windrunner_4_duration"						"Duration: "
"DOTA_Tooltip_modifier_windrunner_4"								"箭矢风暴能量点"
"DOTA_Tooltip_modifier_windrunner_4_Description"					"有能量点时自动对周围的敌人释放箭矢风暴。"

"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner"				"射日"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：追星逐月</h1>追星逐月魔法箭矢造成%scepter_damage%倍敏捷的额外伤害\n<h1>二转：鹰眼</h1>箭矢风暴增加%scepter_bonus_duration%秒持续时间并具有跟踪效果\n<h1>三转：晴天风暴</h1>每隔%scepter_interval%秒自动对周围的敌人释放一波箭矢风暴，持续%scepter_duration%秒\n<h1>四转：多重射击</h1>普通攻击有%scepter_chance%%%的几率触发多重射击\n这把神弓并非奥林匹斯山的神器，而是一位无名的异界旅者留下的武器"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Lore"			"别手贱点他！"
