//突袭
"DOTA_Tooltip_ability_solar_lifesteal"	"吸血鬼"
"DOTA_Tooltip_ability_solar_lifesteal_Description"	"使得攻击时吸收目标一定百分比的当前生命并在6秒内提升攻速。"
"DOTA_Tooltip_ability_solar_scare"	"恐惧"
"DOTA_Tooltip_ability_solar_scare_Description"	"沉默目标并使目标攻击有几率丢失。"
"DOTA_Tooltip_ability_solar_ghost"	"白夜鬼"
"DOTA_Tooltip_ability_solar_ghost_Description"	"隐身单位，间断性召唤幻影对周围的目标身后进行攻击,每次攻击将造成目标最大生命值一定百分比的伤害 。"
"DOTA_Tooltip_ability_solar_magic_fire"	"咒火"
"DOTA_Tooltip_ability_solar_magic_fire_Description"	"对目标造成持续的伤害，被咒火作用时无法回复生命值。"
"DOTA_Tooltip_ability_solar_noice_wave"	"魔音波"
"DOTA_Tooltip_ability_solar_noice_wave_Description"	"制造魔鬼的声音，使目标剧烈震荡，造成巨大的伤害并使目标所有冷却中的技能cd增加30秒。"
"DOTA_Tooltip_ability_solar_barren_aura"	"荒芜光环"
"DOTA_Tooltip_ability_solar_barren_aura_Description"	"使得周围的友军获得生命回复，并且每4秒赋予1秒的魔免状态。"
"DOTA_Tooltip_ability_solar_ice_blade"	"霜冻之剑"
"DOTA_Tooltip_ability_solar_ice_blade_Description"	"攻击时减少目标攻击速度与移动速度。"
"DOTA_Tooltip_ability_solar_lock"	"恶魔锁链"
"DOTA_Tooltip_ability_solar_lock_Description"	"使得目标无法移动并沉默目标。"
"DOTA_Tooltip_ability_solar_lifesteal_attackspeed"	"攻速："
"DOTA_Tooltip_ability_solar_lifesteal_damage"	"伤害百分比："
"DOTA_Tooltip_ability_solar_scare_miss"	"丢失几率："
"DOTA_Tooltip_ability_solar_scare_duration"	"Duration: "
"DOTA_Tooltip_ability_solar_magic_fire_damage"	"每秒伤害："
"DOTA_Tooltip_ability_solar_magic_fire_duration"	"Duration: "
"DOTA_Tooltip_ability_solar_noice_wave_damage"	"%当前生命伤害："
"DOTA_Tooltip_ability_solar_barren_aura_regen"	"%生命回复："
"DOTA_Tooltip_ability_solar_ice_blade_attackspeed"	"攻速降低："
"DOTA_Tooltip_ability_solar_ice_blade_movespeed"	"移速降低："
"DOTA_Tooltip_ability_solar_ghost_interval"	"攻击间隔："
"DOTA_Tooltip_ability_solar_ghost_damage"	"%伤害值："
"DOTA_Tooltip_ability_alien_parasitism_damage"	"%伤害百分比："
"DOTA_Tooltip_ability_alien_line_hp"	"%触发百分比："
"DOTA_Tooltip_ability_solar_fire"	"燎原"
"DOTA_Tooltip_ability_solar_fire_Description"	"该单位会慢慢成长，攻击时造成当前等级一定系数的伤害。"
