"DOTA_Tooltip_Ability_item_blades1"	"阔剑"
"DOTA_Tooltip_Ability_item_blades1_Lore"	"500的剑也叫剑？"
"DOTA_Tooltip_Ability_item_blades2"	"大剑"
"DOTA_Tooltip_Ability_item_blades2_Lore"	"骨头也是有梦想的"
"DOTA_Tooltip_Ability_item_blades3"	"夜叉"
"DOTA_Tooltip_Ability_item_blades3_Lore"	"兄弟你缺钙么"
"DOTA_Tooltip_Ability_item_blades4"	"散华"
"DOTA_Tooltip_Ability_item_blades5"	"阿瑞斯之剑"
"DOTA_Tooltip_Ability_item_blades5_Lore"	"8000块很贵么？"
"DOTA_Tooltip_Ability_item_jianjiadao"	"血斧"
"DOTA_Tooltip_Ability_item_crit"	"诸神配剑"
"DOTA_Tooltip_Ability_item_fenlie"	"分离天地"
"DOTA_Tooltip_Ability_item_blink1"	"走狗的荣耀"
"DOTA_Tooltip_Ability_item_blink1_Lore"	"雅典娜身上携带的必备武器"
"DOTA_Tooltip_Ability_item_chainmail1"	"雅典娜的丝质围裙"
"DOTA_Tooltip_Ability_item_chainmail1_Lore"	"对的，雅典娜也会做饭"
"DOTA_Tooltip_Ability_item_chainmail2"	"雅典娜的布质围裙"
"DOTA_Tooltip_Ability_item_chainmail2_Lore"	"雅典娜比较喜欢做菜"
"DOTA_Tooltip_Ability_item_chainmail3"	"雅典娜的麻质围裙"
"DOTA_Tooltip_Ability_item_chainmail3_Lore"	"雅典娜真的很喜欢做菜"
"DOTA_Tooltip_Ability_item_chainmail4"	"雅典娜的铁质围裙"
"DOTA_Tooltip_Ability_item_xianji"	"神明之火"
"DOTA_Tooltip_Ability_item_xianji_Lore"	"就是火"
"DOTA_Tooltip_Ability_item_mokang"	"魔者乖离"
"DOTA_Tooltip_Ability_item_mokang_Lore"	"越强大越无用"
"DOTA_Tooltip_Ability_item_shanbi"	"神明的勘破"
"DOTA_Tooltip_Ability_item_point1"	"海格力斯的腰带"
"DOTA_Tooltip_Ability_item_point1_Lore"	"的确是有点臭"
"DOTA_Tooltip_Ability_item_refresher1"	"倒转阴阳"
"DOTA_Tooltip_Ability_item_refresher1_Lore"	"我可以放两个大了"
"DOTA_Tooltip_Ability_item_shield"	"美杜莎之盾"
"DOTA_Tooltip_Ability_item_boots1"	"赫尔墨斯之履"
"DOTA_Tooltip_Ability_item_boots1_Lore"	"赫尔墨斯送信的速度有光纤快吗？"
"DOTA_Tooltip_Ability_item_lifesteal1"	"哈迪斯的给予"
"DOTA_Tooltip_Ability_item_lifesteal1_Lore"	"这件物品是哈迪斯的面子"
"DOTA_Tooltip_Ability_item_shanbi_Lore"	"老大，为什么他老是跳来跳去不打我"
"DOTA_Tooltip_Ability_item_refresher1_Description"	"<h1>主动：倒转阴阳</h1>刷新你的所有技能\n雅典娜曾经去过东方，三清赐予她的神器事物"
"DOTA_Tooltip_Ability_item_boots1_Description"	"赫尔墨斯作为信使之神，他的鞋子给他提供了不少帮助<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 增加100点移动速度<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_fenlie_Lore"	"其实是大地之母当初是用这把剑把初代神王的JJ割了"
"DOTA_Tooltip_Ability_item_blades4_Description"	"还是那把剑，结果你离不开他就变成神了  两把可以合成新手剑<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 240伤害<br></br>+ 15攻速<br></br>+ 攻击有一定几率附加400点伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_blades5_Description"	"拿着他，你才真正入门了！<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 400伤害<br></br>+ 15攻速<br></br>+ 攻击有一定几率附加600点伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_jianjiadao_Lore"	"砍瓜切菜，杀人放火无往不利"
"DOTA_Tooltip_Ability_item_fenlie_Description"	"大地之母用来斩断天地的剑<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 3000伤害<br></br>+ 分裂攻击<br></br>+ 分裂距离250码<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_chainmail4_Lore"	"作为神明，用铁做的围裙很奇怪么？"
"DOTA_Tooltip_Ability_item_crit_Description"	"这把剑是奥林匹斯山诸神的制式配剑<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 1500伤害<br></br>+ 8倍暴击！！！<br></br>+ 10的暴击几率<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_chainmail3_Description"	"虽然围裙掉入了凡间，但作为神明的装备还是提供了护甲和一点魔力    两件可以升级<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 护甲加50<br></br>+ 攻速加60<br></br>+ 抵挡40点伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_chainmail1_Description"	"虽然围裙掉入了凡间，但作为神明的装备还是提供了护甲和一点魔力<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 护甲加30<br></br>+ 攻速加20<br></br>+ 抵挡20点伤害  两件可以升级<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_chainmail2_Description"	"虽然围裙掉入了凡间，但作为神明的装备还是提供了护甲和一点魔力<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 护甲加40<br></br>+ 攻速加40<br></br>+ 抵挡30点伤害   两件可以升级<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_chainmail4_Description"	"虽然围裙掉入了凡间，但作为神明的装备还是提供了护甲和一点魔力<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 护甲加60<br></br>+ 攻速加80<br></br>+ 抵挡50点伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_shield_Lore"	"法师你是MT啊，快顶前面，别TM搓寒冰箭了"
"DOTA_Tooltip_Ability_item_jianjiadao_Description"	"一把曾经撕裂过神明的斧头<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 600伤害<br></br>+ 攻击敌人时护甲减40<br></br>+ 护甲降低时间15秒<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_mokang_Description"	"这是世界上蕴含无数魔法技巧的事物，可惜它身上的字完全看不清<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 20%%魔法抗性<br></br>+ 完成赏金宝宝任务获取<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_shanbi_Description"	"附带者可以看清敌方的动作<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 20%%闪避几率<br></br>+ 完成赏金宝宝任务获取<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_point1_Description"	"作为半人半神，海格力斯在飞升成英仙座之前留下的充满汗腥味的腰带<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 3000血量加成<br></br>+ 1150魔法加成<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_shield_Description"	"美杜莎的魔法是如此强大，以至于他的盾牌都是坚不可摧<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 你每点的魔法都可以抵抗任何伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_crit_Lore"	"神仙的东西就算是制式的也足够切西瓜了"
"DOTA_Tooltip_Ability_item_lifesteal1_Description"	"作为知名的反宙斯派，哈迪斯很乐意看到雅典娜背弃他的父亲<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 百分之30的生命偷取<br></br>+ 全属性加成300<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_blink1_Description"	"作为雅典娜最神圣的走狗，啊，不护卫。雅典娜亲自将她的指甲刀赐予护卫们<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 2000伤害<br></br>+ 5000距离传送<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_blades4_Lore"	"有时候新手的东西像初恋，虽然你还记着他"
"DOTA_Tooltip_Ability_item_blades3_Description"	"能够赋予你骨骼钙质的一把剑！两把可以合成骨神剑<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 120伤害<br></br>+ 15攻速<br></br>+ 攻击有一定几率附加200点伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_xianji_Description"	"天与地之间，最为透明的事物从你身上绽放<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>+ 300范围内每秒对敌人造成300伤害<br></br><font color='#ffffff'>-----------------------------------------------</font>"
