"hg_button"	"回城"
"hp_button"	"生命"
"armor_button"	"护甲"
"regen_button"	"回复"
"hg"	"回城<br></br>------------------------------------------------<br></br>立刻回到雅典娜身旁"
"hp_tip"	"生命提升<br></br>------------------------------------------------<br></br>消耗1000点金币提升雅典娜1000点生命值<br></br>每次升级额外消耗100金币<br></br>使用者力量提升1-5点"
"armor_tip"	"护甲提升<br></br>------------------------------------------------<br></br>消耗1000点金币提升雅典娜1点护甲<br></br>每次升级额外消耗100金币<br></br>使用者敏捷提升1-5点"
"regen_tip"	"回复提升<br></br>------------------------------------------------<br></br>消耗1000点金币提升雅典娜5点生命回复<br></br>每次升级额外消耗100金币<br></br>使用者智力提升1-5点"
"quest_difficulty_easy"	"当前难度：简单"
"quest_difficulty_normal"	"当前难度：普通"
"quest_difficulty_hard"	"当前难度：困难"
"quest_difficulty_nightmare"	"当前难度：噩梦"
"quest_difficulty_team"	"当前难度：团队"
"select_difficulty"	"难度选择："
"select_difficulty_easy"	"简单"
"select_difficulty_normal"	"普通"
"select_difficulty_hard"	"困难"
"select_difficulty_nightmare"	"噩梦"
"select_difficulty_team"	"团队"
"quest_rush"	"突袭进攻"
"QuestKobold"	"我这有一个赏金任务，帮我杀死3只【哥布林领主】，我会给你一些独特的奖励。"
"QuestBeast"	"这里又有一个新的赏金任务，帮我杀死2只【地狱熊怪】，报酬会让你满意的。"
"QuestGolem"	"帮我杀死那只【大石头】，报酬是一个神秘礼物。"
"OnQuestKobold"	"你以为我会算错数量吗?"
"OnQuestBeast"	"完成任务了再回来找我吧。"
"OnQuestGolem"	"你在逗我，那个大个子还在那把?"
"CompleteQuestKobold"	"这是给你的奖励"
"CompleteQuestBeast"	"这是给你的奖励"
"CompleteQuestGolem"	"这是给你的奖励，收好了。"
"CompleteQuestEasy"	"我已经没有任务给你了。"
"QuestDemon"	"如果你能帮我击杀掉那只【火焰恶魔】，我会给你一个特殊召唤物"
"OnQuestDemon"	"还没有杀掉吗?"
"CompleteQuestDemon"	"这是一个特殊的召唤物，请不要在家玩火。"
"CompleteQuestSolo"	"我已经没有任务给你了。"
"QuestOnlyReborn"	"请转生之后再来把。"
"QuestOnly"	"杀死试炼小兵来证明你的实力"
"OnQuestOnly"	"还不够"
"CompleteQuestOnly"	"这是给你的专属装备。"
"CompletedQuestOnly"	"你已经完成了专属任务。"
"questtitle"	"任务列表"
"questtext"	"击杀数量"
"KillKoboldLord"	"杀死3只哥布林领主："
"KillHellBeast"	"杀死2只地狱熊怪："
"KillAcientGolem"	"杀死石头人："
"KillFireDemon"	"杀死地狱火焰恶魔："
"Trial"	"杀死试炼小兵："
"QuestKoboldTitle"	"杀死3只哥布林领主："
"info_tip"	"贴士："
"info_tip_1"	"● 家里出售的药水不会被打断"
