"npc_dota_hero_crystal_maiden"	"冰川女巫"

"DOTA_Tooltip_ability_crystal_maiden_0"	"冰霜魔印"
"DOTA_Tooltip_ability_crystal_maiden_0_Description"	"使用使一个目标进入冰封状态，处于冰封状态下的单位无法移动与攻击且不受物理伤害。并且每次施放任意法术时在原地生成一个冰霜魔印，冰霜魔印会降低周围的温度使得冰川女巫的法术更为强大，同时踏入冰霜魔印的敌人会减少移动速度。<br></br>-----------------------------------------------<br></br><font color=\"#5bc0de\">寒气爆发</font><br></br>伤害提升30%%<br></br>影响范围增加100<br></br>冰冻时间增加0.1<br></br><font color=\"#5bc0de\">暴风雪</font><br></br>冰球影响范围增加10<br></br>双倍冰球几率增加5%%<br></br>降低每波间隔0.03秒<br></br><font color=\"#5bc0de\">急冻光环</font><br></br>持续时间增加1秒<br></br><font color=\"#5bc0de\">寒风之触</font><br></br>伤害提升20%%<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_crystal_maiden_0_duration"	"冰封持续时间："
"DOTA_Tooltip_ability_crystal_maiden_0_mark_duration"	"冰霜魔印持续时间："
"DOTA_Tooltip_ability_crystal_maiden_0_radius"	"冰霜魔印减速范围："
"DOTA_Tooltip_ability_crystal_maiden_0_movespeed_reduce_pct"	"%冰霜魔印减速："
"DOTA_Tooltip_ability_crystal_maiden_0_cold_radius"	"冰霜魔印降温范围："
"DOTA_Tooltip_ability_crystal_maiden_0_Lore"	"冰川女巫更擅长在低温下使用她的法术"
"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden"	"月牙冰饰"
"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：寒冰侵蚀</h1>攻击时有%chance%%%的几率冰冻目标，持续%duration%秒。\n<h1>二转：极寒之拥</h1>使得进入冰霜结界的友军进入隐身状态\n<h1>三转：急速冷却</h1>释放技能时有%refresh_chance%%%几率立即刷新该技能\n<h1>四转：冰晶护盾</h1>释放技能时产生一个能抵挡一次伤害的护盾\n由深蓝冰川核心铸造的挂坠，冰冷的程度甚至能瞬间冻死一头猪。"
"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden1"	"月牙冰饰"
"DOTA_Tooltip_ability_item_npc_dota_hero_crystal_maiden1_Description"	"<h1>被动：寒冰侵蚀</h1>攻击时有%rate%%%的几率冰冻目标，持续%duration%秒。\n<h1>被动：急速冷却</h1>释放技能时有%refresh%%%几率立即刷新该技能\n<h1>被动：冰晶护盾</h1>释放技能时产生一个能抵挡一次伤害的护盾\n<h1>被动：极寒之拥</h1>使得进入冰霜结界的友军进入隐身状态\n由深蓝冰川核心铸造的挂坠，冰冷的程度甚至能瞬间冻死一头猪。"

"DOTA_Tooltip_ability_snowstorm"	"暴风雪"
"DOTA_Tooltip_ability_snowstorm_Description"	"在目标点召唤暴风雪随机打击目标区域，持续时间内不断生成冰球轰击地面造成伤害并减速。每波有几率生成双倍冰球。<br></br>-----------------------------------------------<br></br>每波伤害：智力 * 技能等级 + 100 * 技能等级<br></br>每波冰球数量：4<br></br>每波影响范围：%single_radius%<br></br>每波间隔：%interval%<br></br>双倍冰球几率：2%% * 技能等级<br></br>减速持续时间：3<br></br>移速减少：25<br></br>持续时间：6<br></br>影响范围：400<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_snowstorm_Note0"	"减速效果相互叠加并重置持续时间"
"DOTA_Tooltip_ability_chilliness_burst"	"寒气爆发"
"DOTA_Tooltip_ability_chilliness_burst_Description"	"向周围释放寒气，对冲击到的目标造成伤害与短暂冰冻效果，目标解除冰冻后会受到减速效果。减速效果会在持续时间内逐渐回复。<br></br>-----------------------------------------------<br></br>伤害：2 * 智力 * 技能等级<br></br>基础伤害：200 * 技能等级<br></br>冰冻持续时间：0.2 + 0.05 * 技能等级<br></br>攻速减少：20 + 5 * 技能等级<br></br>移速减少：20 + 5 * 技能等级<br></br>恢复时间：6<br></br>影响范围：900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_chilliness_burst_Note0"	"减速效果可以叠加"
"DOTA_Tooltip_ability_frozen_aura"	"急冻光环"
"DOTA_Tooltip_ability_frozen_aura_Description"	"软妹子的存在使周围友军的技能冷却时间大大降低并且有几率在施法后不消耗魔法。主动使用使得光环作用于全地图且效果加倍。<br></br>-----------------------------------------------<br></br>冷却减少：10%% + 1%% * 技能等级<br></br>不消耗魔法几率：13%% + 2%% * 技能等级<br></br>持续时间：12<br></br>影响范围：900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_frozen_aura_Note0"	"该技能冷却时间不受减少冷却效果影响"
"DOTA_Tooltip_ability_chilliness_burst_Note1"	"寒气需要0.6秒才能扩散至最远距离"
"DOTA_Tooltip_ability_frozen_aura_Note1"	"与其他技能减少效果非线性叠加"

"DOTA_Tooltip_ability_chilling_touch"	"冰霜结界"
"DOTA_Tooltip_ability_chilling_touch_Description"	"在周围创造出一个冰霜结界，在结界中速度至极限并且隐身。同时对进入结界的单位施加寒冬诅咒，受到持续伤害并且加深受到的伤害。在结界中移动速度低于150的单位将被冰冻。<br></br>-----------------------------------------------<br></br>每秒伤害：2 * 智力 * 技能等级<br></br>基础伤害：200 * 技能等级<br></br>影响范围：600<br></br>持续时间：8<br></br>伤害加深：25%% + 25%% * 技能等级<br></br>-----------------------------------------------"
"DOTA_Tooltip_modifier_chilling_touch"	"冰霜结界"
"DOTA_Tooltip_modifier_chilling_touch_Description"	"该单位处于隐形状态"
