"DOTA_Tooltip_ability_ember_spirit_0"									"火之痕"
"DOTA_Tooltip_ability_ember_spirit_0_Description"						"对敌方单位造成伤害时附加一层火之痕，在持续时间结束后造成敏捷*叠加层数的伤害。当火焰之灵对目标施放技能伤害时，每一层火之痕增加1%%的伤害。主动使用立即激活所有火之痕。最大增伤不会超过200%%。"
"DOTA_Tooltip_ability_ember_spirit_0_Lore"								"火焰的烙印将深深的刻在敌人的尸体上"
"DOTA_Tooltip_ability_ember_spirit_0_Note0"								"该技能冷却时间不受减少冷却效果影响"
"DOTA_Tooltip_ability_ember_spirit_1"									"烈焰连袭"
"DOTA_Tooltip_ability_ember_spirit_1_Description"						"在战场快速穿梭至目标位置并攻击目标，该次攻击将造成额外的伤害。期间随机选择6个单位进行攻击。若周围的单位有火之痕的效果也会影响该目标。<br></br>-----------------------------------------------<br></br>攻击力伤害系数：1 + 0.25 * 技能等级<br></br>基础伤害：200 * 技能等级<br></br>伤害间隔：0.1<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_ember_spirit_1_Lore"								"侵略如火"
"DOTA_Tooltip_ability_ember_spirit_2"									"裂空斩"
"DOTA_Tooltip_ability_ember_spirit_2_Description"						"向后闪避一小段距离集气并向前方斩出巨大剑气，对目标造成大量伤害。<br></br>-----------------------------------------------<br></br>伤害：2 * 敏捷 * 技能等级<br></br>基础伤害：100 * 技能等级<br></br>伤害半径：400<br></br>最远距离：1000<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_ember_spirit_2_Lore"								"灵动如焰"
"DOTA_Tooltip_ability_ember_spirit_3"									"火焰之躯"
"DOTA_Tooltip_ability_ember_spirit_3_Description"						"将身体火焰化，减少一定比例受到的物理伤害，并且所有物理伤害将额外附加一次该比例的魔法伤害，该次伤害同样附加火之痕。<br></br>-----------------------------------------------<br></br>火焰化比例：20 + 2 * 技能等级<br></br>持续时间：16<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_ember_spirit_3_Lore"								"身披火焰时才是最强时刻"
"DOTA_Tooltip_ability_ember_spirit_4"									"火之余烬"
"DOTA_Tooltip_ability_ember_spirit_4_Description"						"以燃烧自身生命为代价获取巨大的攻击加成，根据每秒消耗的生命数值提升自身攻击力，提升所有技能的伤害，并且在附加火之痕的时候能额外附加层数。<br></br>-----------------------------------------------<br></br>每秒生命消耗：1%% * 技能等级<br></br>每点生命消耗提供攻击力：5 * 技能等级<br></br>技能伤害加成：15%% * 技能等级<br></br>额外火之痕层数：1 * 技能等级<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_ember_spirit_4_Lore"								"如同火焰般燃烧自己，吞噬一切"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit"					"烬"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit_Description"		"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：烈焰连袭</h1>增加烈焰连袭2点能量点，每8秒充能一次。\n<h1>二转：烈焰突袭</h1>使烈焰连袭的攻击中附带大范围100%%分裂效果\n<h1>三转：火之痕</h1>使每层火之痕造成每秒敏捷值的伤害\n<h1>四转：烈焰之躯</h1>使烈焰之躯每秒带有400范围烈焰连袭伤害\n刀上残留的余烬还带这些许温度"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit1"					"烬"
"DOTA_Tooltip_ability_item_npc_dota_hero_ember_spirit1_Description"		"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>被动：火之痕</h1>使每层火之痕造成每秒敏捷值的伤害\n<h1>被动：烈焰突袭</h1>使烈焰连袭的攻击中附带大范围100%%分裂效果\n<h1>被动：烈焰之躯</h1>使烈焰之躯每秒带有400范围烈焰连袭伤害\n<h1>被动：献祭</h1>减少一半的大招生命消耗\n刀上残留的余烬还带这些许温度"
