"npc_dota_hero_juggernaut"	"主宰"

"DOTA_Tooltip_ability_juggernaut_0"	"无双剑技[天赋]"
"DOTA_Tooltip_ability_juggernaut_0_Description"	"减少初始攻击间隔，每100点基础敏捷减少0.1秒，最多减少1秒。并且在持续时间内增加攻击力与%attackspeed%攻击速度。"
"DOTA_Tooltip_ability_juggernaut_0_scepter_description_1"	"使得天赋对幻象有效"
"DOTA_Tooltip_ability_juggernaut_0_duration"	"持续时间："
"DOTA_Tooltip_ability_juggernaut_0_critical"	"%攻击力："
"DOTA_Tooltip_modifier_juggernaut_0"	"无双剑技"
"DOTA_Tooltip_modifier_juggernaut_0_Description"	"减少初始攻击间隔，并且赋予暴击能力"

"DOTA_Tooltip_ability_juggernaut_1"	"剑刃风暴"
"DOTA_Tooltip_ability_juggernaut_1_Description"	"剑圣与自身幻象舞起毁天灭地的次元杀阵，对周围的敌方单位造成伤害。持续时间内提升攻击攻击速度与移动速度并无视碰撞。"
"DOTA_Tooltip_ability_juggernaut_1_scepter_description_2"	"持续时间内对魔法免疫"
"DOTA_Tooltip_ability_juggernaut_1_base_damage"	"每秒基础伤害："
"DOTA_Tooltip_ability_juggernaut_1_damage"	"每秒敏捷伤害系数："
"DOTA_Tooltip_ability_juggernaut_1_attackspeed"	"%攻速提升："
"DOTA_Tooltip_ability_juggernaut_1_movespeed"	"%移速提升："
"DOTA_Tooltip_ability_juggernaut_1_duration"	"持续时间："
"DOTA_Tooltip_ability_juggernaut_1_blade_fury_radius"	"伤害范围："
"DOTA_Tooltip_ability_juggernaut_1_illusion_damage_percent"	"%幻象造成伤害："
"DOTA_Tooltip_modifier_juggernaut_1_buff"	"剑刃风暴"
"DOTA_Tooltip_modifier_juggernaut_1_buff_Description"	"对周围的单位造成持续伤害。"

"DOTA_Tooltip_ability_juggernaut_2"	"镜像"
"DOTA_Tooltip_ability_juggernaut_2_Description"	"制造自身的镜像分身来帮助战斗。技能冷却时将激活一刀千花叶。"
"DOTA_Tooltip_ability_juggernaut_2_images_count"	"镜像数量："
"DOTA_Tooltip_ability_juggernaut_2_input_damage"	"%承受伤害："
"DOTA_Tooltip_ability_juggernaut_2_output_damage"	"%镜像继承伤害："
"DOTA_Tooltip_ability_juggernaut_2_duration"		"持续时间："

"DOTA_Tooltip_ability_juggernaut_2_1"				"一刀千花叶"
"DOTA_Tooltip_ability_juggernaut_2_1_Description"	"急速的剑法连同附近的所有镜像斩向敌人，晕眩并伤害路径上的所有单位，每造成1%%的伤害会增加0.1秒的晕眩时间。"
"DOTA_Tooltip_ability_juggernaut_2_1_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_juggernaut_2_1_damage"		"敏捷伤害系数："
"DOTA_Tooltip_ability_juggernaut_2_1_duration"		"基础晕眩时间："

"DOTA_Tooltip_ability_juggernaut_3"	"剑舞"
"DOTA_Tooltip_ability_juggernaut_3_Description"	"每次攻击提升一定的攻击速度，并在周围形成一道剑气伤害敌人。"
"DOTA_Tooltip_ability_juggernaut_3_scepter_description_3"	"攻击时有%scepter_ignore_armor_chance%%%的几率无视护甲"
"DOTA_Tooltip_ability_juggernaut_3_scepter_description_4"	"每层剑舞将提升%scepter_damage_pct%%%的伤害输出并减少%scepter_reduce_pct%%%受到的伤害"
"DOTA_Tooltip_ability_juggernaut_3_damage"	"攻击力伤害系数："
"DOTA_Tooltip_ability_juggernaut_3_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_juggernaut_3_bonus_attack_speed"	"每层额外攻速："
"DOTA_Tooltip_ability_juggernaut_3_duration"	"持续时间："
"DOTA_Tooltip_ability_juggernaut_3_radius"	"伤害范围："
"DOTA_Tooltip_modifier_juggernaut_3"	"剑舞"
"DOTA_Tooltip_modifier_juggernaut_3_Description"	"提升%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%攻速，减少%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%伤害，提升%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%伤害输出。"

"DOTA_Tooltip_ability_juggernaut_4"	"幻影剑舞"
"DOTA_Tooltip_ability_juggernaut_4_Description"	"剑圣发动幻影剑舞，以极高的攻速对范围内的单位造成伤害，期间不受任何伤害。效果结束后剑圣将进入无敌状态持续%buff_duration%秒。"
"DOTA_Tooltip_ability_juggernaut_4_damage"				"额外攻击力系数："
"DOTA_Tooltip_ability_juggernaut_4_duration"			"持续时间："
"DOTA_Tooltip_ability_juggernaut_4_interval"			"攻击间隔："
"DOTA_Tooltip_ability_juggernaut_4_radius"				"影响范围："
"DOTA_Tooltip_modifier_juggernaut_4"	"幻影剑舞"
"DOTA_Tooltip_modifier_juggernaut_4_buff"	"无敌"

"DOTA_Tooltip_ability_item_npc_dota_hero_juggernaut"	"妖刀村正"
"DOTA_Tooltip_ability_item_npc_dota_hero_juggernaut_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：无双剑技</h1>使得天赋对幻象有效\n<h1>二转：剑刃风暴</h1>持续时间内对魔法免疫\n<h1>三转：妖刀</h1>攻击时有%scepter_ignore_armor_chance%%%的几率无视护甲\n<h1>四转：剑舞</h1>每层剑舞将提升%scepter_damage_pct%%%的伤害输出并减少%scepter_reduce_pct%%%受到的伤害\n传说中的妖刀，锋利无比，杀人无数！"
