"npc_dota_hero_lina"									"莉莉丝"
"DOTA_Tooltip_ability_lina_0"							"炽红莲"
"DOTA_Tooltip_ability_lina_0_Description"				"每次施法都会产生火焰虚影包裹全身，每层火焰虚影每%interval%秒对周围%radius%范围的单位造成[%damage% * 智力]的伤害并减少[%reduce% * 智力]的伤害。每层虚影持续%duration%秒。"
"DOTA_Tooltip_ability_lina_0_Lore"						"火之高兴"
"DOTA_Tooltip_ability_lina_0_scepter_description_4"		"普攻命中有%scepter_chance%%%施放神灭斩，造成%scepter_damage%倍智力的伤害并附加%scepter_ignite_count%层点燃。"
"DOTA_Tooltip_modifier_lina_0_buff"						"炽红莲"
"DOTA_Tooltip_modifier_lina_0_buff_Description"			"每次施法都会产生火焰虚影包裹全身，对周围的单位造成持续伤害并减少受到的伤害。"

"DOTA_Tooltip_ability_lina_1"							"极光"
"DOTA_Tooltip_ability_lina_1_Description"				"召唤极光对一条直线上的单位造成伤害与晕眩并减少其%miss%%%命中率。"
"DOTA_Tooltip_ability_lina_1_base_damage"				"基础伤害："
"DOTA_Tooltip_ability_lina_1_damage"					"智力伤害系数："
"DOTA_Tooltip_ability_lina_1_stun_duration"				"晕眩时间："
"DOTA_Tooltip_ability_lina_1_miss_duration"				"丢失命中率持续时间："
"DOTA_Tooltip_ability_lina_1_distance"					"最大距离："
"DOTA_Tooltip_ability_lina_1_ignite_count"				"点燃层数："
"DOTA_Tooltip_ability_lina_1_Lore"						"来自异界的极光"
"DOTA_Tooltip_ability_lina_1_scepter_description_1"		"使极光留下燃烧路径造成持续%scepter_duration%秒的燃烧伤害，每秒造成极光%scepter_damage_pct%%%的伤害"
"DOTA_Tooltip_modifier_lina_1_debuff"					"极光"
"DOTA_Tooltip_modifier_lina_1_debuff_Description"		"攻击有几率丢失。"


"DOTA_Tooltip_ability_lina_2"							"火蝴蝶"
"DOTA_Tooltip_ability_lina_2_Description"				"召唤火蝴蝶冲击目标区域的敌人，造成%stun_duration%秒的晕眩并对范围内的单位造成持续伤害。"
"DOTA_Tooltip_ability_lina_2_base_damage"				"冲击基础伤害："
"DOTA_Tooltip_ability_lina_2_damage"					"冲击智力伤害系数："
"DOTA_Tooltip_ability_lina_2_tick_damage"				"持续伤害智力系数："
"DOTA_Tooltip_ability_lina_2_radius"					"影响范围："
"DOTA_Tooltip_ability_lina_2_duration"					"持续时间："
"DOTA_Tooltip_ability_lina_2_ignite_count"				"点燃层数："
"DOTA_Tooltip_ability_lina_2_Lore"						"飞蛾扑火，火蝶重生"
"DOTA_Tooltip_ability_lina_2_scepter_description_2"		"额外触发%scepter_count%次火蝴蝶"

"DOTA_Tooltip_ability_lina_3"							"点燃"
"DOTA_Tooltip_ability_lina_3_Description"				"攻击与技能对目标造成伤害时，对目标造成点燃效果。"
"DOTA_Tooltip_ability_lina_3_damage"					"智力伤害系数："
"DOTA_Tooltip_ability_lina_3_duration"					"持续时间："
"DOTA_Tooltip_ability_lina_3_Note0"						"点燃效果不可驱散"
"DOTA_Tooltip_modifier_lina_3_debuff"					"点燃"
"DOTA_Tooltip_modifier_lina_3_debuff_Description"		"受到持续伤害。"

"DOTA_Tooltip_ability_lina_4"							"混乱之雨"
"DOTA_Tooltip_ability_lina_4_Description"				"刻画禁忌法阵召唤混沌陨石，陨石短暂延迟后对范围内的单位造成巨大的伤害并晕眩。"
"DOTA_Tooltip_ability_lina_4_damage"					"智力伤害系数："
"DOTA_Tooltip_ability_lina_4_radius"					"陨石伤害范围："
"DOTA_Tooltip_ability_lina_4_stun_duration"				"晕眩时间："
"DOTA_Tooltip_ability_lina_4_duration"					"持续时间："
"DOTA_Tooltip_ability_lina_4_ignite_count"				"点燃层数："
"DOTA_Tooltip_ability_lina_4_Lore"						"雨下整夜，我的爱液出就像雨水"
"DOTA_Tooltip_ability_lina_4_scepter_description_3"		"提升混乱之雨%scepter_meteor_damage_pct%%%的伤害并使陨石具有追踪效果"

"DOTA_Tooltip_ability_item_npc_dota_hero_lina"	"紫怨"
"DOTA_Tooltip_ability_item_npc_dota_hero_lina_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：极光</h1>使极光留下燃烧路径造成持续%scepter_duration%秒的燃烧伤害，每秒造成极光%scepter_damage_pct%%%的伤害\n<h1>二转：火蝴蝶</h1>额外触发%scepter_count%次火蝴蝶\n<h1>三转：混乱之雨</h1>提升混乱之雨%scepter_meteor_damage_pct%%%的伤害并使陨石具有追踪效果\n<h1>四转：神灭斩</h1>普攻命中有%scepter_chance%%%施放神灭斩，造成%scepter_damage%倍智力的伤害并附加%scepter_ignite_count%层点燃。\n一颗诞自火焰恶魔精华的榴石"
