
"npc_dota_hero_nevermore"	"塔耳塔洛斯"

"DOTA_Tooltip_ability_nevermore_0"	"破碎的灵魂"
"DOTA_Tooltip_ability_nevermore_0_Description"	"每当杀死一个单位都会对目标周围%radius%范围的的单位造成伤害并额外提升1点力量，额外力量上限为基础力量值。"
"DOTA_Tooltip_ability_nevermore_0_Lore"	"地狱才是灵魂的归宿"
"DOTA_Tooltip_ability_nevermore_0_damage"	"力量伤害系数："
"DOTA_Tooltip_modifier_nevermore_0"	"破碎的灵魂"
"DOTA_Tooltip_modifier_nevermore_0_Description"	"额外增加%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%点力量。"

"DOTA_Tooltip_ability_nevermore_1"	"三重黑幕"
"DOTA_Tooltip_ability_nevermore_1_Description"	"在前方召唤%shadowraze_count%次黑幕冲击，造成巨大伤害。同时用黑幕笼罩敌人，黑幕使敌人减少伤害输出。使用后在%combo_duration%秒内可以再次使用该技能，最多连续使用2次。"
"DOTA_Tooltip_ability_nevermore_1_Lore"	"塔耳塔洛斯标志性的灵魂收割手段。"
"DOTA_Tooltip_ability_nevermore_1_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_nevermore_1_damage"	"力量伤害系数："
"DOTA_Tooltip_ability_nevermore_1_shadowraze_radius"	"冲击范围："
"DOTA_Tooltip_ability_nevermore_1_reduce_damage"	"%黑幕伤害减少："
"DOTA_Tooltip_ability_nevermore_1_stack_reduce_damage"	"%每层黑幕伤害减少叠加："
"DOTA_Tooltip_ability_nevermore_1_duration"	"黑幕持续时间："
"DOTA_Tooltip_modifier_nevermore_1"	"黑幕连击"
"DOTA_Tooltip_modifier_nevermore_1_Description"	"持续时间内可以再次使用三重黑幕。"
"DOTA_Tooltip_modifier_nevermore_1_debuff"	"黑幕"
"DOTA_Tooltip_modifier_nevermore_1_debuff_Description"	"该单位减少%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%伤害输出。"

"DOTA_Tooltip_ability_nevermore_2"	"地狱冥土"
"DOTA_Tooltip_ability_nevermore_2_Description"	"地狱才是塔尔塔罗斯力量的源泉，通过召唤地狱冥土来提升战力。对范围内的单位造成沉默与燃烧伤害并加深其受到的伤害，同时提升自身的生命回复。"
"DOTA_Tooltip_ability_nevermore_2_Lore"	"从来没有人得以窥视塔耳塔洛斯的魂渊之秘。"
"DOTA_Tooltip_ability_nevermore_2_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_nevermore_2_damage"	"力量伤害系数："
"DOTA_Tooltip_ability_nevermore_2_radius"	"冲击范围："
"DOTA_Tooltip_ability_nevermore_2_health_regen_pct"	"%生命回复："
"DOTA_Tooltip_ability_nevermore_2_damage_deepen"	"%伤害加深："
"DOTA_Tooltip_ability_nevermore_2_duration"	"持续时间："
"DOTA_Tooltip_modifier_nevermore_2"	"地狱冥土"
"DOTA_Tooltip_modifier_nevermore_2_Description"	"提升了%dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%生命回复。"
"DOTA_Tooltip_modifier_nevermore_2_debuff"	"地狱冥土"
"DOTA_Tooltip_modifier_nevermore_2_debuff_Description"	"该单位被沉默并且额外受到%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%的伤害。"

"DOTA_Tooltip_ability_nevermore_3"	"支配死灵"
"DOTA_Tooltip_ability_nevermore_3_Description"	"每点力量将被动提升一定的攻击力。开启技能后额外攻击力提升为原来的%active_factor%倍，并且攻击变为魔法伤害，但是每次攻击都会消耗额外的魔法。"
"DOTA_Tooltip_ability_nevermore_3_Lore"	"被收割的亡魂在魂渊内外盘旋，增加了塔耳塔洛斯的力量，也方便他扩大自己的灵魂收藏。"
"DOTA_Tooltip_ability_nevermore_3_attack_per_str"	"每点力量额外攻击力："
"DOTA_Tooltip_ability_nevermore_3_mana_cost"	"每次攻击魔法消耗："

"DOTA_Tooltip_ability_nevermore_4"	"魂之挽歌"
"DOTA_Tooltip_ability_nevermore_4_Description"	"塔尔塔罗斯聚集捕获的灵魂，以多道魔能的形式释放。引导时将牵引附近的单位并且免疫所有伤害。"
"DOTA_Tooltip_ability_nevermore_4_Lore"	"那些死者的灵魂被捕获后尽数释放，毁灭他们生前的盟友。"
"DOTA_Tooltip_ability_nevermore_4_damage"	"力量伤害系数："
"DOTA_Tooltip_ability_nevermore_4_soul_count"	"魔能数量："
"DOTA_Tooltip_ability_nevermore_4_distance"	"最远距离："
"DOTA_Tooltip_ability_nevermore_4_fear_duration"	"恐惧时间："
"DOTA_Tooltip_modifier_nevermore_4"	"恐惧"
"DOTA_Tooltip_modifier_nevermore_4_Description"	"该单位正在四处逃窜。"

"DOTA_Tooltip_ability_item_npc_dota_hero_nevermore"	"撒旦之邪力"
"DOTA_Tooltip_ability_item_npc_dota_hero_nevermore_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：支配死灵</h1>使得开启后保持攻击力\n<h1>二转：破碎的灵魂</h1>使普通攻击也能触发效果并减少0.5秒的冷却\n<h1>三转：九重黑幕</h1>升级三重黑幕至九重黑幕\n<h1>四转：黑幕灭世</h1>使得魂之挽歌额外召唤大范围黑幕冲击并且延长黑幕持续时间\n撒旦的地狱之力，大大加强了灵魂控制能力"
