"npc_dota_hero_oracle"	"神谕者"

"DOTA_Tooltip_ability_oracle_0"	"死亡预言"
"DOTA_Tooltip_ability_oracle_0_Description"	"神谕者预言一个目标的死亡命运，在持续时间内成功预言则获得智力提升并获得当前等级一定百分比的经验值。神谕者对预言状态下的单位造成额外伤害，且每次成功预言都会增加%bonus_damage_add%%%的额外伤害。"
"DOTA_Tooltip_ability_oracle_0_Lore"	"敌人和虚妄的先知一样常常会编造他人的命运。"
"DOTA_Tooltip_modifier_oracle_0_stack"	"预言奖励"
"DOTA_Tooltip_modifier_oracle_0_stack_Description"	"增加%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%点智力"
"DOTA_Tooltip_modifier_oracle_0_debuff"	"死亡预言"
"DOTA_Tooltip_modifier_oracle_0_debuff_Description"	"该单位受到神谕者的额外伤害"
"DOTA_Tooltip_ability_oracle_0_duration"	"预言持续时间："
"DOTA_Tooltip_ability_oracle_0_intellect_add"	"成功预言智力提升："
"DOTA_Tooltip_ability_oracle_0_exp_add"	"%成功预言经验提升："
"DOTA_Tooltip_ability_oracle_0_bonus_damage"	"%预言额外伤害："
"DOTA_Tooltip_ability_oracle_0_Note0"	"自动施法后会主动对周围随机单位释放"

"DOTA_Tooltip_ability_oracle_1"	"涤罪之焰"
"DOTA_Tooltip_ability_oracle_1_Description"	"神谕者将力量汇聚为一股蕴含荡涤之力的能量，对目标区域造成伤害并点燃目标，使目标在持续时间内受到伤害并降低伤害输出。伤害效果可叠加。涤罪之焰会给自身附加一个等同于持续伤害的治疗效果。<br></br>-----------------------------------------------<br></br>基础伤害：80 * 技能等级<br></br>属性伤害：2 * 智力 * 技能等级<br></br>每秒持续伤害：0.5 * 智力 * 技能等级<br></br>伤害范围：%radius%<br></br>伤害降低：%damage_reduce%%%<br></br>持续时间：%duration%<br></br>-----------------------------------------------"
