"npc_dota_hero_phantom_assassin"	"影月守望者"
"DOTA_Tooltip_ability_clusters_stars"	"繁星"
"DOTA_Tooltip_ability_clusters_stars_Description"	"攻击后额外攻击一次，每次连击攻击有几率额外增加一次攻击次数。主动使用时对目标造成巨大伤害与晕眩并且在持续时间内减少目标护甲。<br></br>-----------------------------------------------<br></br>连击率：25%%<br></br>伤害：2 * 攻击力 * 技能等级<br></br>护甲减少：6 * 技能等级<br></br>晕眩时间：2<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_clusters_stars_Lore"	"枯萎穿心攻击"
"DOTA_Tooltip_ability_clusters_stars_Note0"	"额外伤害次数上限5"
"DOTA_Tooltip_ability_clusters_stars_Note1"	"命中目标后才会计算几率"
"DOTA_Tooltip_modifier_clusters_stars"	"繁星"
"DOTA_Tooltip_modifier_clusters_stars_Description"	"攻击后额外攻击一次，每次攻击有25%%的几率额外增加一次攻击次数。同时有30%%的几率造成暴击"
"DOTA_Tooltip_ability_moonlight_projection"	"月光之痕"
"DOTA_Tooltip_ability_moonlight_projection_Description"	"闪烁至目标点，并对经过的单位造成伤害。使用后会立即刷新影月轮舞的冷却时间。<br></br>-----------------------------------------------<br></br>基础伤害：100 * 技能等级<br></br>攻击力伤害系数：1 + 0.25 * 技能等级<br></br>最大距离：550 + 50 * 技能等级<br></br>影响范围：200<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_moonlight_projection_Lore"	"开启银月之门"
"DOTA_Tooltip_ability_shadowmoon_wheeldance"	"影月轮舞"
"DOTA_Tooltip_ability_shadowmoon_wheeldance_Description"	"快速旋转一周切割周围单位造成短暂晕眩与伤害并减少600%%攻击/移动速度，每击杀一个目标时减少此技能当前10%%的冷却时间<br></br>-----------------------------------------------<br></br>基础伤害：100 * 技能等级<br></br>攻击力伤害系数：1.25 + 0.25 * 技能等级<br></br>影响范围：300<br></br>持续时间：3<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_shadowmoon_wheeldance_Lore"	"如乱舞般收割"
"DOTA_Tooltip_modifier_shadowmoon_wheeldance"	"影月轮舞"
"DOTA_Tooltip_modifier_shadowmoon_wheeldance_Description"	"单位被减速了"
"DOTA_Tooltip_ability_shadow_rift_garrotte"	"影缝绞杀"
"DOTA_Tooltip_ability_shadow_rift_garrotte_Description"	"在战场内快速穿梭，造成毁灭性伤害<br></br>-----------------------------------------------<br></br>每次穿梭攻击力伤害系数：1 + 1 * 技能等级<br></br>持续时间：3<br></br>影响范围：900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_shadow_rift_garrotte_Lore"	"开启银月之门"
"DOTA_Tooltip_ability_abstrusemoon_shadow"	"玄月之影"
"DOTA_Tooltip_ability_abstrusemoon_shadow_Description"	"每次攻击提升%bonus_damage_percent%%%基础攻击力，持续%duration%秒。所有伤害有%critical_chance%%%的几率造成%critical_damage%%%的暴击，暴击时将附带%life_steal%%%的吸血效果。"
"DOTA_Tooltip_ability_abstrusemoon_shadow_Lore"	"无尽之月"
"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff"	"玄月之影[天赋]"
"DOTA_Tooltip_modifier_abstrusemoon_shadow_buff_Description"	"每次攻击后提升攻击力<br></br>攻击提升：<font color=\"#f0ad4e\">基础攻击 * 2</font><br></br>持续时间：<font color=\"#FFB90F\">10</font>"
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin"	"擒月轮"
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：隐月加持</h1>天赋每次增加8%%的攻击力\n<h1>二转：银月加持</h1>影月轮舞将减少目标护甲，减甲效果与繁星相同\n<h1>三转：弱点打击</h1>暴击时对目标造成短暂晕眩并造成双倍伤害\n<h1>四转：擒月</h1>释放影缝绞杀时刷新影月轮舞并使基础冷却降低至0.5\n作为上古血月爆炸留下的遗物，这把武器经过两次月痕的浸礼"
"DOTA_Tooltip_Ability_item_npc_dota_hero_phantom_assassin_Lore"	"速度带来影子的攻击"
