"npc_dota_hero_rubick"	"空间魔术师"
"DOTA_Tooltip_ability_rubick_0"	"空间裂缝"
"DOTA_Tooltip_ability_rubick_0_Description"	"每次施法都会引起周围空间的波动，根据法术的强度在周围形成一个具有致命伤害的空间裂缝，如果目标处于裂缝中心还会额外损失%center_damage%%%的最大生命。"
"DOTA_Tooltip_ability_rubick_0_rubick_02"	"每次攻击施放一道强大的奥术能量流，在多个敌方单位之间流动。最多弹射%max_count%个单位，造成%damage%倍智力伤害。"
"DOTA_Tooltip_ability_rubick_0_rubick_03"	"每次攻击施放一道强大的奥术能量流，在多个敌方单位之间流动。最多弹射%max_count%个单位，造成%damage%倍智力伤害。"
"DOTA_Tooltip_ability_rubick_0_Lore"	"强如空间魔术师也无法完全掌控它"
"DOTA_Tooltip_ability_rubick_0_damage"	"智力伤害系数："
"DOTA_Tooltip_ability_rubick_0_radius"	"影响范围："
"DOTA_Tooltip_ability_rubick_0_center_radius"	"中心范围："
"DOTA_Tooltip_ability_rubick_0_scepter_description_1"	"每次攻击都会在目标周围生成空间裂缝"

"DOTA_Tooltip_ability_rubick_1"	"空间魔法"
"DOTA_Tooltip_ability_rubick_1_Description"	"使用空间魔法戏耍敌人，吸引周围的单位并将他们传送至目标点，吸引和传送后都会造成伤害，每多一个单位都会加深%pull_bonus%%%的伤害。"
"DOTA_Tooltip_ability_rubick_1_Lore"	"只有最强大的空间法师才能随意使用这个技能"
"DOTA_Tooltip_ability_rubick_1_Note0"	"对原本处在目标点范围内的单位也会造成传送伤害"
"DOTA_Tooltip_ability_rubick_1_Note1"	"传送伤害加成为吸引单位与目标点存在单位总和"
"DOTA_Tooltip_ability_rubick_1_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_rubick_1_pull_damage"	"吸引智力伤害系数："
"DOTA_Tooltip_ability_rubick_1_open_damage"	"传送智力伤害系数："
"DOTA_Tooltip_ability_rubick_1_radius"	"影响范围："

"DOTA_Tooltip_ability_rubick_2"	"传送法阵"
"DOTA_Tooltip_ability_rubick_2_Description"	"快速画出两个法阵将两地连结在一起，在一定延迟后传送至目标点，传送会在目标点和原地同时造成伤害。法阵同时会生成一个魔法护盾保护自身不受到伤害，刷新护盾持续时间会叠加护盾生命值。"
"DOTA_Tooltip_ability_rubick_2_Lore"	"没有空间法师不能去的地方"
"DOTA_Tooltip_ability_rubick_2_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_rubick_2_damage"	"智力伤害系数："
"DOTA_Tooltip_ability_rubick_2_delay"	"传送延迟："
"DOTA_Tooltip_ability_rubick_2_radius"	"伤害范围："
"DOTA_Tooltip_ability_rubick_2_shield_factor"	"护盾生命值智力系数："
"DOTA_Tooltip_ability_rubick_2_shield_duration"	"护盾持续时间："
"DOTA_Tooltip_ability_rubick_2_scepter_description_2"	"增加%scepter_factor%倍的传送距离与伤害并且传送延迟降低至%scepter_delay%"
"DOTA_Tooltip_modifier_rubick_2_shield"	"魔法护盾"
"DOTA_Tooltip_modifier_rubick_2_shield_Description"	"魔法护盾保护空间魔术师暂时不受到任何伤害。"

"DOTA_Tooltip_ability_rubick_3"	"空间牢笼"
"DOTA_Tooltip_ability_rubick_3_Description"	"在目标点形成一个空间屏障，锁定其中的单位，每隔一段时间对其中的单位造成伤害并逐渐吸入中心。"
"DOTA_Tooltip_ability_rubick_3_Lore"	"没有人能逃脱空间的束缚"
"DOTA_Tooltip_ability_rubick_3_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_rubick_3_damage"	"智力伤害系数："
"DOTA_Tooltip_ability_rubick_3_delay"	"生效延迟："
"DOTA_Tooltip_ability_rubick_3_radius"	"影响范围："
"DOTA_Tooltip_ability_rubick_3_duration"	"持续时间："
"DOTA_Tooltip_ability_rubick_3_interval"	"伤害间隔；"
"DOTA_Tooltip_ability_rubick_3_scepter_description_3"	"移除施法延迟且伤害间隔降低至%scepter_interval%"

"DOTA_Tooltip_ability_rubick_4"	"世界投影"
"DOTA_Tooltip_ability_rubick_4_Description"	"将世界投影至目标点，慢慢形成巨大的空间压力，对范围单位造成持续伤害并减少攻击速度与移动速度，每次伤害后伤害提升%damage_deepen%%%。"
"DOTA_Tooltip_ability_rubick_4_Lore"	"空间魔术师掌握足以毁灭世界的力量"
"DOTA_Tooltip_ability_rubick_4_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_rubick_4_damage"	"智力伤害系数："
"DOTA_Tooltip_ability_rubick_4_radius"	"影响范围："
"DOTA_Tooltip_ability_rubick_4_interval"	"初始伤害间隔："
"DOTA_Tooltip_ability_rubick_4_count"	"最大伤害次数："
"DOTA_Tooltip_ability_rubick_4_scepter_description_4"	"最大伤害次数增加至%scepter_count%"

"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick"	"幻境魔方"
"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：能量暴走</h1>每次攻击都会生成空间裂缝\n<h1>二转：强化法阵</h1>传送距离与伤害加倍并移除施法延迟\n<h1>三转：空间结界</h1>移除施法延迟且伤害间隔降低至%scepter_interval%\n<h1>四转：世界投影</h1>最大伤害次数增加至%scepter_count%\n一个包含巨大能量且极其不稳定的魔方，会加剧周围空间的波动"
"DOTA_Tooltip_Ability_item_npc_dota_hero_rubick_Lore"	"大多数法师认为魔方谜题仅仅是个宝贝"
