"npc_dota_hero_windrunner"	"风行者"

"DOTA_Tooltip_ability_windrunner_0"	"追星逐月"
"DOTA_Tooltip_ability_windrunner_0_Description"	"每次攻击发射两枚箭矢，额外箭矢造成魔法伤害。主动使用时集中火力攻击一个目标并在持续时间内提升大量攻速。"
"DOTA_Tooltip_ability_windrunner_0_Lore"	"风行者的诸多弓技中，有一种用连续不断的攻击来缠住敌人让其难以逃脱的箭矢。"
"DOTA_Tooltip_ability_windrunner_0_chance"	"额外攻击几率："
"DOTA_Tooltip_ability_windrunner_0_attacktime"	"攻击间隔："
"DOTA_Tooltip_ability_windrunner_0_bonus_attack_range"	"额外攻击距离："
"DOTA_Tooltip_ability_windrunner_0_bonus_attackspeed"	"额外攻速："
"DOTA_Tooltip_ability_windrunner_0_duration"	"持续时间："
"DOTA_Tooltip_modifier_windrunner_0_active"	"追星逐月"
"DOTA_Tooltip_modifier_windrunner_0_active_Description"	"攻击速度提升了%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%%。"

"DOTA_Tooltip_ability_windrunner_1"	"多重射击"
"DOTA_Tooltip_ability_windrunner_1_Description"	"风行者为她的弓蓄力，射出5支强力的箭矢，最长可蓄力%abilitychanneltime%秒，其间可以打断蓄力，蓄力时间越长箭矢越集中，蓄力时间越短冷却时间越短，最多减少%cooldown_reduction%%%的冷却时间。一共射出两轮箭矢，第二轮箭矢造成魔法伤害。"
"DOTA_Tooltip_ability_windrunner_1_Lore"	"在早年的训练生涯，风行者学会了射出足以破开树木击中目标的强力箭矢。"
"DOTA_Tooltip_ability_windrunner_1_base_damage"	"基础伤害："
"DOTA_Tooltip_ability_windrunner_1_damage"	"攻击力伤害系数："
"DOTA_Tooltip_ability_windrunner_1_range"	"最大距离："

"DOTA_Tooltip_ability_windrunner_2"	"狂风"
"DOTA_Tooltip_ability_windrunner_2_Description"	"运用风的力量对敌人造成伤害与晕眩并使其攻击无法命中，触发天赋时将在持续时间内减少目标护甲<br></br>-----------------------------------------------<br></br>伤害：2 * 敏捷 * 技能等级<br></br>基础伤害：100 * 技能等级<br></br>丢失几率：29 + 技能等级<br></br>晕眩时间：1<br></br>持续时间：1.8 + 0.2 * 技能等级<br></br>护甲减少：2 * 技能等级<br></br>最大距离：900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_windrunner_2_Lore"	"运用风的力量也是弓箭手的必修课"
"DOTA_Tooltip_modifier_gust"	"狂风"
"DOTA_Tooltip_modifier_gust_Description"	"该单位降低了命中率"

"DOTA_Tooltip_ability_windrunner_3"	"风行"
"DOTA_Tooltip_ability_windrunner_3_Description"	"风行者利用风的流动增加自身移动速度。主动使用时突破移速上限并闪避一切物理攻击，同时降低周围敌人的移动速度。"
"DOTA_Tooltip_ability_windrunner_3_Lore"	"风行者运用疾风之力抵御来临的攻击。"
"DOTA_Tooltip_modifier_windrunner_3"	"风行"
"DOTA_Tooltip_modifier_windrunner_3_Description"	"闪避所有物理攻击"

"DOTA_Tooltip_ability_windrunner_4"	"箭矢风暴"
"DOTA_Tooltip_ability_windrunner_4_Description"	"将箭矢射向天空，加持风之狂暴后对大范围的敌人进行毁灭性打击，触发天赋时将额外附加一次魔法伤害<br></br>-----------------------------------------------<br></br>伤害：5 * 攻击力 * 技能等级<br></br>每次伤害范围：200<br></br>持续时间：4<br></br>影响范围：1200<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_windrunner_4_Lore"	"箭雨"

"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner"	"射日"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：伤害强化</h1>追星逐月额外箭矢伤害加倍\n<h1>二转：鹰眼</h1>使得箭矢风暴具有跟踪效果\n<h1>三转：箭矢风暴</h1>增加箭矢风暴4秒持续时间\n<h1>四转：多重射击</h1>普通攻击有10%%的几率触发多重射击，天赋额外箭矢有一半几率触发\n这把神弓并非奥林匹斯山的神器，而是一位无名的异界旅者留下的武器"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Lore"	"风行者具备狂风般地向敌人轰射出无数箭矢的无双本领"



"DOTA_Tooltip_ability_chase_moon_and_star"	"追星逐月[天赋]"
"DOTA_Tooltip_ability_chase_moon_and_star_Description"	"每次攻击或施法都有一定几率触发额外效果。攻击时将触发额外射出一支魔法伤害的箭矢，附带减少目标护甲持续%duration%秒。额外的箭矢有一半的几率触发效果。<br></br>-----------------------------------------------<br></br>伤害：敏捷 * %damage%<br></br>护甲减少：1<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_chase_moon_and_star_rate"	"触发几率："
"DOTA_Tooltip_ability_chase_moon_and_star_Lore"	"狂风暴雨"

"DOTA_Tooltip_ability_multiple_shoot"	"多重射击"
"DOTA_Tooltip_ability_multiple_shoot_Description"	"一次射出5支箭矢，对前方扇形区域造成伤害，伤害与距离成正比，触发天赋时将额外施放一次魔法伤害的多重射击<br></br>-----------------------------------------------<br></br>伤害：攻击力 * 技能等级<br></br>基础伤害：30 * 技能等级<br></br>最大距离：1200<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_multiple_shoot_Lore"	"弓箭手间以同时射出的箭矢数量来判断实力"

"DOTA_Tooltip_ability_gust"	"狂风"
"DOTA_Tooltip_ability_gust_Description"	"运用风的力量对敌人造成伤害与晕眩并使其攻击无法命中，触发天赋时将在持续时间内减少目标护甲<br></br>-----------------------------------------------<br></br>伤害：2 * 敏捷 * 技能等级<br></br>基础伤害：100 * 技能等级<br></br>丢失几率：29 + 技能等级<br></br>晕眩时间：1<br></br>持续时间：1.8 + 0.2 * 技能等级<br></br>护甲减少：2 * 技能等级<br></br>最大距离：900<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_gust_Lore"	"运用风的力量也是弓箭手的必修课"
"DOTA_Tooltip_modifier_gust"	"狂风"
"DOTA_Tooltip_modifier_gust_Description"	"该单位降低了命中率"

"DOTA_Tooltip_ability_alacrity"	"灵动迅捷"
"DOTA_Tooltip_ability_alacrity_Description"	"风的加持被动提升移动速度与闪避，主动使用时获得100%%的闪避与相位状态并减速周围的单位，但是冷却时会失去所有效果<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>移动速度提升：%movespeed%<br></br>闪避几率：10 + 2 * 技能等级<br></br>持续时间：4<br></br>减速：%reduce_movespeed%<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_ability_alacrity_Lore"	"每个弓箭手都怕被近身"
"DOTA_Tooltip_modifier_alacrity"	"灵动迅捷"
"DOTA_Tooltip_modifier_alacrity_Description"	"暂时获得100%%的闪避"

"DOTA_Tooltip_ability_arrow_strom"	"箭矢风暴"
"DOTA_Tooltip_ability_arrow_strom_Description"	"将箭矢射向天空，加持风之狂暴后对大范围的敌人进行毁灭性打击，触发天赋时将额外附加一次魔法伤害<br></br>-----------------------------------------------<br></br>伤害：5 * 攻击力 * 技能等级<br></br>每次伤害范围：200<br></br>持续时间：4<br></br>影响范围：1200<br></br>-----------------------------------------------"
"DOTA_Tooltip_ability_arrow_strom_Lore"	"箭雨"

"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner"	"射日"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Description"	"<h1>专属装备</h1>全属性、生命值与魔法值各提升%property%%%\n<h1>一转：伤害强化</h1>追星逐月额外箭矢伤害加倍\n<h1>二转：鹰眼</h1>使得箭矢风暴具有跟踪效果\n<h1>三转：箭矢风暴</h1>增加箭矢风暴4秒持续时间\n<h1>四转：多重射击</h1>普通攻击有10%%的几率触发多重射击，天赋额外箭矢有一半几率触发\n这把神弓并非奥林匹斯山的神器，而是一位无名的异界旅者留下的武器"
"DOTA_Tooltip_Ability_item_npc_dota_hero_windrunner_Lore"	"别手贱点他！"
