"DOTA_Tooltip_Ability_elite_28_1"					"不如跳舞"
"DOTA_Tooltip_Ability_elite_28_1_Description"		"跳舞嘲讽敌人并回复大量生命值。"
"DOTA_Tooltip_Ability_elite_28_2"					"传送"
"DOTA_Tooltip_Ability_elite_28_2_Description"		"将周围的小弟传送至雅典娜周围。"
"DOTA_Tooltip_ability_anchor_smash"	"锚击"
"DOTA_Tooltip_ability_anchor_smash_Description"	"对附近的敌人造成伤害并减少攻击力。"
"DOTA_Tooltip_ability_anchor_smash_damage"	"伤害："
"DOTA_Tooltip_ability_anchor_smash_damage_reduction"	"%攻击力减少："
"DOTA_Tooltip_ability_anchor_smash_radius"	"影响范围："
"DOTA_Tooltip_ability_anchor_smash_reduction_duration"	"持续时间："
"DOTA_Tooltip_ability_angry_water"	"水怒"
"DOTA_Tooltip_ability_angry_water_Description"	"召唤大面积水柱冲天而起，冲刷敌人，减少目标护甲并减速。"
"DOTA_Tooltip_ability_angry_water_bonus_armor"	"减少护甲："
"DOTA_Tooltip_ability_angry_water_bonus_attack_speed"	"攻击速度减少："
"DOTA_Tooltip_ability_angry_water_bonus_move_speed"	"移动速度减少："
"DOTA_Tooltip_ability_angry_water_damage"	"伤害："
"DOTA_Tooltip_ability_bomb_suicide"	"自杀攻击"
"DOTA_Tooltip_ability_bomb_suicide_Description"	"死亡时对周围造成巨大的伤害"
"DOTA_Tooltip_ability_bomb_suicide_damage"	"伤害"
"DOTA_Tooltip_ability_boss_burrowstrike"	"掘地穿刺"
"DOTA_Tooltip_ability_boss_burrowstrike_Description"	"沙王召唤地刺将敌人击飞，造成%damage%点伤害并晕眩两秒"
"DOTA_Tooltip_ability_boss_epicenter"	"地震"
"DOTA_Tooltip_ability_boss_epicenter_Description"	"召唤地震波伤害周围的单位，每波造成%damage%点伤害"
"DOTA_Tooltip_ability_boss_invisible"	"隐身"
"DOTA_Tooltip_ability_boss_invisible_Description"	"永久隐身并对周围的单位造成2000点每秒的持续伤害"
"DOTA_Tooltip_ability_captain"	"首领"
"DOTA_Tooltip_ability_captain_Description"	"首领拥有额外的攻击、生命、护甲与攻速，额外的属性跟难度与波数成正比。首领攻击时有一定几率造成暴击，单次伤害不会超过最大生命值的%damage_limit%%%，且每受到%damage_limit%%%的伤害就会获得一次减伤效果，减伤效果随时间递减。"
"DOTA_Tooltip_ability_chenmo"	"海妖之歌"
"DOTA_Tooltip_ability_chenmo_Description"	"沉默周围的单位并减少其攻速。"
"DOTA_Tooltip_ability_chenmo_speed"	"攻速减少："
"DOTA_Tooltip_ability_chouxue"	"交换"
"DOTA_Tooltip_ability_chouxue_Description"	"交换双方生命百分比"
"DOTA_Tooltip_ability_chouxue_damage"	"伤害"
"DOTA_Tooltip_ability_courage"	"勇气"
"DOTA_Tooltip_ability_courage_heal"	"治疗量"
"DOTA_Tooltip_ability_death"	"死神镰刀"
"DOTA_Tooltip_ability_death_Description"	"当周围的敌人生命值过低时将直接斩杀目标，并回复大量的生命值。"
"DOTA_Tooltip_ability_death_change"	"死亡契约"
"DOTA_Tooltip_ability_death_change_Description"	"死亡时与凶手目标交换死亡命运，并夺取目标生命值。"
"DOTA_Tooltip_ability_death_exorcism"	"驱使恶灵"
"DOTA_Tooltip_ability_death_exorcism_Description"	"释放恶灵偷走敌方单位的生命。"
"DOTA_Tooltip_ability_death_exorcism_average_damage"	"伤害："
"DOTA_Tooltip_ability_doppleganger"	"海妖幻影"
"DOTA_Tooltip_ability_doppleganger_Description"	"受到伤害时原地消失化身海潮伤害周围的单位并躲避该次伤害一秒后在生成5个幻象出现在敌方单位周围。幻象只造成30%%的伤害，受到的伤害加深1200%%，幻象持续两秒。"
"DOTA_Tooltip_ability_earthshake"	"地裂"
"DOTA_Tooltip_ability_earthshake_Description"	"制造大范围的地裂，对目标造成生命上限一定百分比的伤害。"
"DOTA_Tooltip_ability_earthshake_damage"	"%生命上限百分比："
"DOTA_Tooltip_ability_electrostatic_field"	"静电堆积"
"DOTA_Tooltip_ability_electrostatic_field_Description"	"每次释放雷电后就会加强周围的静电场，每一层静电场将提升1%%的伤害。并且周围的单位释放技能后会触发一次闪电链并被沉默，每层静电场增加0.03秒沉默时间。当叠加至100层静电场时将被动触发雷神之怒并清除所有层数。"
"DOTA_Tooltip_ability_electrostatic_field_max_damage"	"%单次最高伤害："
"DOTA_Tooltip_ability_elite_30_1"	"法力燃烧"
"DOTA_Tooltip_ability_elite_30_1_Description"	"燃烧目标所有魔法值，并造成损失魔法一定比例的伤害。"
"DOTA_Tooltip_ability_elite_30_1_damage_pct"	"%燃烧伤害"
"DOTA_Tooltip_ability_elite_30_2"	"死亡之箭"
"DOTA_Tooltip_ability_elite_30_2_Description"	"每次攻击都会减少目标最大生命。"
"DOTA_Tooltip_ability_elite_30_2_health_reduce"	"生命减少："
"DOTA_Tooltip_ability_elite_30_3"	"命令光环"
"DOTA_Tooltip_ability_elite_30_3_Description"	"提升周围%radius%范围友军的攻击力。"
"DOTA_Tooltip_ability_elite_30_3_bonus_attack"	"%额外攻击力："
"DOTA_Tooltip_ability_elite_4_1"	"清醒拍打"
"DOTA_Tooltip_ability_elite_4_1_Description"	"一记强力的脸部拍打，造成伤害与晕眩。"
"DOTA_Tooltip_ability_elite_7_1"	"妖术"
"DOTA_Tooltip_ability_elite_7_1_Description"	"将敌人变成无害的小动物。"
"DOTA_Tooltip_ability_elite_7_1_movespeed"	"移动速度"
"DOTA_Tooltip_ability_elite_7_2"	"暗言术"
"DOTA_Tooltip_ability_elite_7_2_Description"	"以一字真言对目标造成持续伤害，且降低目标的治疗效果。"
"DOTA_Tooltip_ability_elite_7_2_regen_reduce"	"%回复降低："
"DOTA_Tooltip_ability_elite_7_3"	"聚变"
"DOTA_Tooltip_ability_elite_7_3_Description"	"使一个目标区域陷入聚变，使其中的单位逐渐降低移动速度。"
"DOTA_Tooltip_ability_elite_7_3_duration"	"持续时间："
"DOTA_Tooltip_ability_elite_7_3_max_slow"	"%最大移速减少："
"DOTA_Tooltip_ability_elite_7_3_radius"		"影响范围："
"DOTA_Tooltip_ability_elite_7_4"	"混乱之雨"
"DOTA_Tooltip_ability_elite_7_4_Description"	"召唤陨石从天而降砸向地面，造成大量伤害并晕眩周围的单位。"
"DOTA_Tooltip_ability_elite_7_4_radius"	"影响范围："
"DOTA_Tooltip_ability_enchant_totem"	"强化图腾"
