"npc_dota_hero_omniknight"	"机械师"
"DOTA_Tooltip_ability_omniknight_0"										"雷霆动力"
"DOTA_Tooltip_ability_omniknight_0_Description"							"使用以雷霆为动力的武器，能够发动雷霆之力毁灭敌人，有一定几率击晕目标，如果目标已经处于晕眩状态，则对其造成天罚。每次发动雷霆之力都会提升1点力量。"
"DOTA_Tooltip_ability_omniknight_0_aghanim_description"					"使天罚作用于%scepter_radius%范围内的敌方单位"
"DOTA_Tooltip_ability_omniknight_0_stun_duration"						"晕眩时间："
"DOTA_Tooltip_ability_omniknight_0_chance"								"%击晕几率："
"DOTA_Tooltip_ability_omniknight_0_str_factor"							"天罚力量伤害："
"DOTA_Tooltip_ability_omniknight_1"										"雷霆一击"
"DOTA_Tooltip_ability_omniknight_1_Description"							"瞬间集中雷电下击，造成大范围的伤害与晕眩。"
"DOTA_Tooltip_ability_omniknight_1_aghanim_description"					"雷霆一击能量点提升至%scepter_charges%"
"DOTA_Tooltip_ability_omniknight_1_base_damage"							"每级基础伤害："
"DOTA_Tooltip_ability_omniknight_1_str_factor"							"每级力量伤害系数："
"DOTA_Tooltip_ability_omniknight_1_radius"								"影响范围"
"DOTA_Tooltip_ability_omniknight_1_stun_duration"						"晕眩时间"
"DOTA_Tooltip_ability_omniknight_2"										"治疗装置"
"DOTA_Tooltip_ability_omniknight_2_Description"							"迅速组装一个治疗装置，回复周围友军的生命和魔法。治疗装置的生命与护甲取决于机械师的力量值。同时使得释放雷霆一击时有几率减少50%%充能时间，触发雷霆动力时有几率不进入冷却状态。"
"DOTA_Tooltip_ability_omniknight_2_aghanim_description"					"使得治疗装置能够移动并且每%scepter_interval%秒对范围内的随机%scepter_count%个敌方单位施放闪电链造成%scepter_damage%倍力量伤害。"
"DOTA_Tooltip_ability_omniknight_2_health_regen"						"每级生命回复："
"DOTA_Tooltip_ability_omniknight_2_mana_regen"							"每级魔法回复："
"DOTA_Tooltip_ability_omniknight_2_health_regen_pct"					"%每级百分比生命回复："
"DOTA_Tooltip_ability_omniknight_2_chance"								"%刷新几率："
"DOTA_Tooltip_ability_omniknight_2_duration"							"持续时间："
"DOTA_Tooltip_ability_omniknight_2_radius"								"影响范围："
"DOTA_Tooltip_ability_omniknight_3"										"举重"
"DOTA_Tooltip_ability_omniknight_3_Description"							"熟练的使用重型武器，被动提升力量与攻速，使得每%attack_count%次攻击提升一点力量，提升雷霆动力被动击晕几率与天罚伤害系数。"
"DOTA_Tooltip_ability_omniknight_3_bonus_attackspeed"					"每级额外攻速："
"DOTA_Tooltip_ability_omniknight_3_bonus_str"							"每级额外力量："
"DOTA_Tooltip_ability_omniknight_3_bonus_chance"						"%每级额外击晕几率："
"DOTA_Tooltip_ability_omniknight_3_bonus_str_factor"					"每级额外天罚力量伤害系数："
"DOTA_Tooltip_ability_omniknight_4"										"风暴屏障"
"DOTA_Tooltip_ability_omniknight_4_Description"							"在周身制造极限的高压，增加雷霆动力的输出频率。提升自身的战斗能力并每秒对周围的敌方单位造成麻痹效果，麻痹时有一定几率触发闪电风暴在敌人之间跳跃。"
"DOTA_Tooltip_ability_omniknight_4_aghanim_description"					"每次麻痹造成一次%scepter_damage%倍力量伤害。"
"DOTA_Tooltip_ability_omniknight_4_palsy_radius"						"麻痹影响范围："
"DOTA_Tooltip_ability_omniknight_4_storm_str_damage"					"每级闪电风暴力量伤害："
"DOTA_Tooltip_ability_omniknight_4_storm_jump_count"					"闪电风暴跳跃次数："
"DOTA_Tooltip_ability_omniknight_4_storm_chance"						"%闪电风暴触发几率："
"DOTA_Tooltip_ability_omniknight_4_bonus_attackspeed"					"额外攻速："
"DOTA_Tooltip_ability_omniknight_4_bonus_movespeed"						"额外移速："
"DOTA_Tooltip_ability_omniknight_4_bonus_resistance"					"额外魔抗："
"DOTA_Tooltip_ability_omniknight_4_bonus_amp_percent"					"%技能增强："
"DOTA_Tooltip_ability_omniknight_4_mana_cost"							"每秒魔法消耗："
"DOTA_Tooltip_ability_omniknight_4_palsy_attackspeed"					"麻痹每级攻速减少："
"DOTA_Tooltip_ability_omniknight_4_palsy_movespeed"						"麻痹每级移速减少："
"DOTA_Tooltip_ability_omniknight_4_palsy_duration"						"麻痹持续时间："
"DOTA_Tooltip_ability_omniknight_4_palsy_interval"						"麻痹触发间隔："
"DOTA_Tooltip_modifier_omniknight_0"									"雷霆动力增加力量"
