"npc_dota_hero_templar_assassin"	"天启者"
"DOTA_Tooltip_ability_templar_assassin_0"						"魅隐[天赋]"
"DOTA_Tooltip_ability_templar_assassin_0_Description"			"生成魅隐之纱抵挡伤害。伤害超过最大生命值一定百分比才会消耗魅隐之纱。魅隐之纱最多叠加%max_charges%层。消耗魅隐之纱时会清除身上的负面状态。\n驱散类型：强驱散"
"DOTA_Tooltip_ability_templar_assassin_0_Note0"					"魅隐之纱可以叠加"
"DOTA_Tooltip_ability_templar_assassin_0_cost_pct_per_stack"	"%每层叠加伤害阈值："
"DOTA_Tooltip_ability_templar_assassin_0_aghanim_description"	"魅隐之纱破碎或者刷新时将对%scepter_radius%范围的单位造成%scepter_damage%倍敏捷的伤害。"
"DOTA_Tooltip_modifier_templar_assassin_0_shield"				"魅隐之纱"
"DOTA_Tooltip_modifier_templar_assassin_0_shield_Description"	"完全抵挡伤害，当伤害小于%dMODIFIER_PROPERTY_TOOLTIP%%%最大生命值时不消耗魅隐之纱。"

"DOTA_Tooltip_ability_templar_assassin_1"					"散华"
"DOTA_Tooltip_ability_templar_assassin_1_Description"		"向一个目标发动强劲一击，暂时冲散目标一定百分比的灵魂并造成巨大的伤害。被冲散的灵魂将带走目标等百分比的最大生命、移动速度与伤害输出，受到的伤害也会按百分比加深。被冲散的灵魂会缓慢恢复并且归还各项属性。同时目标身后扇形单位将受到溅射伤害。冲散的百分比伤害将作用于被溅射的单位。当处于神引加速状态下时将提升%bonus_pct%%%的溅射距离与角度。"
"DOTA_Tooltip_ability_templar_assassin_1_Lore"				"散尽浮华"
"DOTA_Tooltip_ability_templar_assassin_1_Note0"				"该技能会额外附带一次普通攻击的伤害但不会计算在溅射效果内"
"DOTA_Tooltip_ability_templar_assassin_1_base_damage"		"每级基础伤害："
"DOTA_Tooltip_ability_templar_assassin_1_damage"			"每级敏捷伤害："
"DOTA_Tooltip_ability_templar_assassin_1_health_pct"		"%冲散生命："
"DOTA_Tooltip_ability_templar_assassin_1_angle"				"溅射角度："
"DOTA_Tooltip_ability_templar_assassin_1_distance"			"溅射距离："
"DOTA_Tooltip_ability_templar_assassin_1_duration"			"恢复时间："
