"DOTA_Tooltip_Ability_item_agi_book"	"虚幻之书"
"DOTA_Tooltip_Ability_item_agi_book_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_agi%点敏捷"
"DOTA_Tooltip_Ability_item_bag_of_coin"	"金袋"
"DOTA_Tooltip_Ability_item_bag_of_coin_Description"	"一个金袋<br></br><font color='#ffffff'>-----------------------------------------------</font><br></br>100金<br></br><font color='#ffffff'>-----------------------------------------------</font>"
"DOTA_Tooltip_Ability_item_clarity1"	"小净化药水"
"DOTA_Tooltip_Ability_item_clarity1_Description"	"<h1>主动：净化</h1>在%buff_duration%秒内回复%total_mana%点魔法"
"DOTA_Tooltip_Ability_item_clarity2"	"中净化药水"
"DOTA_Tooltip_Ability_item_clarity2_Description"	"<h1>主动：净化</h1>在%buff_duration%秒内回复%total_mana%点魔法"
"DOTA_Tooltip_Ability_item_clarity3"	"大净化药水"
"DOTA_Tooltip_Ability_item_clarity3_Description"	"<h1>主动：净化</h1>在%buff_duration%秒内回复%total_mana%点魔法"
"DOTA_Tooltip_Ability_item_clarity4"	"超净化药水"
"DOTA_Tooltip_Ability_item_clarity4_Description"	"<h1>主动：净化</h1>在%buff_duration%秒内回复%total_mana%点魔法"
"DOTA_Tooltip_Ability_item_int_book"	"魔力之书"
"DOTA_Tooltip_Ability_item_int_book_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_int%点智力"
"DOTA_Tooltip_Ability_item_salve1"	"小回复药水"
"DOTA_Tooltip_Ability_item_salve1_Description"	"<h1>主动：复苏</h1>在%buff_duration%秒内回复%total_hp%点生命"
"DOTA_Tooltip_Ability_item_salve2"	"中回复药水"
"DOTA_Tooltip_Ability_item_salve2_Description"	"<h1>主动：复苏</h1>在%buff_duration%秒内回复%total_hp%点生命"
"DOTA_Tooltip_Ability_item_salve3"	"大回复药水"
"DOTA_Tooltip_Ability_item_salve3_Description"	"<h1>主动：复苏</h1>在%buff_duration%秒内回复%total_hp%点生命"
"DOTA_Tooltip_Ability_item_salve4"	"超回复药水"
"DOTA_Tooltip_Ability_item_salve4_Description"	"<h1>主动：复苏</h1>在%buff_duration%秒内回复%total_hp%点生命"
"DOTA_Tooltip_Ability_item_str_book"	"力量之书"
"DOTA_Tooltip_Ability_item_str_book_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_str%点力量"
"DOTA_Tooltip_ability_item_agi_book_pack"	"虚幻之书捆绑包"
"DOTA_Tooltip_ability_item_agi_book_pack_100"	"虚幻之书超大捆绑包"
"DOTA_Tooltip_ability_item_agi_book_pack_100_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_agi%点敏捷。\n<font color=\"#ff0000\">该物品需要储存金钱超过900000才能购买成功</font>"
"DOTA_Tooltip_ability_item_agi_book_pack_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_agi%点敏捷"
"DOTA_Tooltip_ability_item_clarity1_pack"	"小净化药水包"
"DOTA_Tooltip_ability_item_clarity1_pack_Description"	"直接购买50瓶小回复药水，真是方便。"
"DOTA_Tooltip_ability_item_clarity1_pack_Lore"	"团购优惠-500"
"DOTA_Tooltip_ability_item_fumo_baoji"	"附魔卷轴●暴击"
"DOTA_Tooltip_ability_item_fumo_baoji_Description"	"使得普攻附带暴击效果<br></br><br></br><font color=\"#d9534f\">只能附魔一次</font>"
"DOTA_Tooltip_ability_item_fumo_jianjia"	"附魔卷轴●破甲"
"DOTA_Tooltip_ability_item_fumo_jianjia_Description"	"使得普攻附带百分比减甲效果<br></br><br></br><font color=\"#d9534f\">只能附魔一次</font>"
"DOTA_Tooltip_ability_item_fumo_mokang"	"附魔卷轴●削弱"
"DOTA_Tooltip_ability_item_fumo_mokang_Description"	"使得普攻附带魔抗削弱的效果<br></br><br></br><font color=\"#d9534f\">只能附魔一次</font>"
"DOTA_Tooltip_ability_item_fumo_xixue"	"附魔卷轴●嗜血"
"DOTA_Tooltip_ability_item_fumo_xixue_Description"	"使得普攻附带吸血效果<br></br><br></br><font color=\"#d9534f\">只能附魔一次</font>"
"DOTA_Tooltip_ability_item_int_book_pack"	"魔力之书捆绑包"
"DOTA_Tooltip_ability_item_int_book_pack_100"	"魔力之书超大捆绑包"
"DOTA_Tooltip_ability_item_int_book_pack_100_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_int%点智力。\n<font color=\"#ff0000\">该物品需要储存金钱超过900000才能购买成功</font>"
"DOTA_Tooltip_ability_item_int_book_pack_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_int%点智力"
"DOTA_Tooltip_ability_item_salve1_pack"	"小回复药水包"
"DOTA_Tooltip_ability_item_salve1_pack_Description"	"直接购买50瓶小回复药水，真是方便。"
"DOTA_Tooltip_ability_item_salve1_pack_Lore"	"团购优惠-500"
"DOTA_Tooltip_ability_item_str_book_pack"	"力量之书捆绑包"
"DOTA_Tooltip_ability_item_str_book_pack_100"	"力量之书超大捆绑包"
"DOTA_Tooltip_ability_item_str_book_pack_100_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_str%点力量。\n<font color=\"#ff0000\">该物品需要储存金钱超过900000才能购买成功</font>"
"DOTA_Tooltip_ability_item_str_book_pack_Description"	"<h1>主动：属性提升</h1>提升使用者%bonus_str%点力量"
"DOTA_Tooltip_modifier_item_clarity1"	"魔力回复"
"DOTA_Tooltip_modifier_item_clarity1_Description"	"该单位正在回复魔法"
"DOTA_Tooltip_modifier_item_clarity2"	"魔力回复"
"DOTA_Tooltip_modifier_item_clarity2_Description"	"该单位正在回复魔法"
"DOTA_Tooltip_modifier_item_clarity3"	"魔力回复"
"DOTA_Tooltip_modifier_item_clarity3_Description"	"该单位正在回复魔法"
"DOTA_Tooltip_modifier_item_clarity4"	"魔力回复"
"DOTA_Tooltip_modifier_item_clarity4_Description"	"该单位正在回复魔法"
"DOTA_Tooltip_modifier_item_fumo_baoji"	"附魔●暴击"
"DOTA_Tooltip_modifier_item_fumo_baoji_Description"	"该武器的攻击将附带暴击效果"
"DOTA_Tooltip_modifier_item_fumo_jianjia"	"附魔●破甲"
"DOTA_Tooltip_modifier_item_fumo_jianjia_Description"	"该武器的攻击将附带破甲效果"
"DOTA_Tooltip_modifier_item_fumo_jianjia_debuff"	"破甲"
"DOTA_Tooltip_modifier_item_fumo_jianjia_debuff_Description"	"该单位将受到更多的物理伤害"
"DOTA_Tooltip_modifier_item_fumo_mokang"	"附魔●魔抗"
"DOTA_Tooltip_modifier_item_fumo_mokang_Description"	"该武器的攻击将附带魔抗削弱效果"
"DOTA_Tooltip_modifier_item_fumo_mokang_debuff"	"魔抗削弱"
"DOTA_Tooltip_modifier_item_fumo_mokang_debuff_Description"	"该单位将受到更多的魔法伤害"
"DOTA_Tooltip_modifier_item_fumo_xixue"	"附魔●嗜血"
"DOTA_Tooltip_modifier_item_fumo_xixue_Description"	"该武器的攻击将附带吸血效果"
"DOTA_Tooltip_modifier_item_salve"	"生命回复"
"DOTA_Tooltip_modifier_item_salve1"	"生命回复"
"DOTA_Tooltip_modifier_item_salve1_Description"	"该单位正在回复生命"
"DOTA_Tooltip_modifier_item_salve2"	"生命回复"
"DOTA_Tooltip_modifier_item_salve2_Description"	"该单位正在回复生命"
"DOTA_Tooltip_modifier_item_salve3"	"生命回复"
"DOTA_Tooltip_modifier_item_salve3_Description"	"该单位正在回复生命"
"DOTA_Tooltip_modifier_item_salve4"	"生命回复"
"DOTA_Tooltip_modifier_item_salve4_Description"	"该单位正在回复生命"
"DOTA_Tooltip_modifier_item_salve_Description"	"该单位正在回复生命"
"DOTA_Tooltip_ability_item_enchant_critical"	"附魔●暴击"
"DOTA_Tooltip_ability_item_enchant_critical_Description"	"使主武器提供额外的暴击能力\n每次使用提升暴击倍率\n每次使用覆盖之前的附魔效果\n最多使用10次"
"DOTA_Tooltip_ability_item_enchant_critical_critical_chance"	"%+暴击几率"
"DOTA_Tooltip_ability_item_enchant_critical_critical_mutiple"	"%+暴击倍率"
"DOTA_Tooltip_ability_item_enchant_reduce_armor"	"附魔●减甲"
