"DOTA_Tooltip_Ability_item_bag_of_coin"	"金袋"
"DOTA_Tooltip_Ability_item_bag_of_coin_Description"	"一个金袋"
// 食人魔
"DOTA_Tooltip_ability_item_ogre_1"	"食人魔的大棒"
"DOTA_Tooltip_ability_item_ogre_1_Description"	"<h1>主动：全力重击</h1>对目标点周围的单位造成%damage%伤害与%duration%秒晕眩\n食人魔首领使用的大棒"
"DOTA_Tooltip_ability_item_ogre_1_Lore"	"尽管用起来不顺手，还是能造成一点伤害的。"
"DOTA_Tooltip_ability_item_ogre_1_bonus_attack"	"+攻击力"
"DOTA_Tooltip_ability_item_ogre_2"	"食人魔的护甲"
"DOTA_Tooltip_ability_item_ogre_2_Description"	"食人魔首领穿戴的护甲"
"DOTA_Tooltip_ability_item_ogre_2_Lore"	"食人魔皮糙肉厚，所以护甲也不多"
"DOTA_Tooltip_ability_item_ogre_3"	"食人魔的护腕"
"DOTA_Tooltip_ability_item_ogre_3_Description"	"食人魔首领穿戴的护腕"
"DOTA_Tooltip_ability_item_ogre_3_Lore"	"充满了力量"
"DOTA_Tooltip_ability_item_ogre_4"	"食人魔套装"
"DOTA_Tooltip_ability_item_ogre_4_Description"	"<h1>主动：全力重击</h1>对目标点周围的单位造成%damage%伤害与%duration%秒晕眩\n食人魔首领所穿戴的装备"
"DOTA_Tooltip_ability_item_ogre_4_Lore"	"充满了力量"
"DOTA_Tooltip_ability_item_ogre_4_bonus_str"	"+力量"
"DOTA_Tooltip_ability_item_ogre_4_bonus_health"	"+生命值"
"DOTA_Tooltip_ability_item_ogre_4_bonus_attack"	"+攻击力"
// 大树
"DOTA_Tooltip_ability_item_treant_1"					"绿叶"
"DOTA_Tooltip_ability_item_treant_1_Description"		"<h1>主动：树甲</h1>提升4%%每秒的生命回复并减少40%%的伤害\n使用后获得树甲保护"
"DOTA_Tooltip_ability_item_treant_1_damage_block"		"%伤害格挡："
"DOTA_Tooltip_ability_item_treant_1_bonus_hp_regen"		"%每秒生命回复："
"DOTA_Tooltip_ability_item_treant_1_Lore"				"绿色保护着你"
"DOTA_Tooltip_ability_item_treant_2"					"树种"
"DOTA_Tooltip_ability_item_treant_2_Description"		"召唤一个树人为你所用"
"DOTA_Tooltip_ability_item_treant_2_Lore"				"绿色保护着你"
"DOTA_Tooltip_ability_item_treant_3"					"树枝"
"DOTA_Tooltip_ability_item_treant_3_Description"		"<h1>主动：植树</h1>种下一颗快乐的小树。\n好像没什么作用，但是却很值钱"
"DOTA_Tooltip_ability_item_treant_3_Lore"				"绿色保护着你"
"DOTA_Tooltip_ability_item_treant_4"					"巨树护甲"
