"DOTA_Tooltip_ability_item_fazhang_1"							"魔力法杖"
"DOTA_Tooltip_ability_item_fazhang_1_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：法术增强</h1>提升一定百分比的魔法伤害\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一根再普通不过的法杖"
"DOTA_Tooltip_ability_item_fazhang_1_Lore"						"普通魔法师的入门标配。"
"DOTA_Tooltip_ability_item_fazhang_1_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_1_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_1_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_1_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_2"							"空明杖"
"DOTA_Tooltip_ability_item_fazhang_2_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：法术增强</h1>提升一定百分比的魔法伤害\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一根有助于冥想的法杖"
"DOTA_Tooltip_ability_item_fazhang_2_Lore"						"拿着它似乎就进入了冥想的境界。"
"DOTA_Tooltip_ability_item_fazhang_2_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_2_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_2_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_2_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_3"							"原力法杖"
"DOTA_Tooltip_ability_item_fazhang_3_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：法术增强</h1>提升一定百分比的魔法伤害\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一根蕴含自然魔力的法杖"
"DOTA_Tooltip_ability_item_fazhang_3_Lore"						"带着它能有效引导施法者的法术。"
"DOTA_Tooltip_ability_item_fazhang_3_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_3_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_3_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_3_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_4"							"阿托斯之杖"
"DOTA_Tooltip_ability_item_fazhang_4_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：法术增强</h1>提升一定百分比的魔法伤害\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n破坏神的法杖"
"DOTA_Tooltip_ability_item_fazhang_4_Lore"						"即使施放一般的法术也会造成大危害"
"DOTA_Tooltip_ability_item_fazhang_4_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_4_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_4_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_4_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_5"							"狄安娜月亮神杖"
"DOTA_Tooltip_ability_item_fazhang_5_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：法术增强</h1>提升一定百分比的魔法伤害\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n月亮女神的法杖"
"DOTA_Tooltip_ability_item_fazhang_5_Lore"						"能引导月光之力增幅法术。"
"DOTA_Tooltip_ability_item_fazhang_5_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_5_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_5_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_5_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_6"							"神杖"
"DOTA_Tooltip_ability_item_fazhang_6_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_fazhang_6_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_6_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_6_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_6_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_6_auto_health"				"+$auto_health"
"DOTA_Tooltip_ability_item_fazhang_6_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_fazhang_6_auto_physical_armor"		"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_fazhang_6_auto_magical_resistance"	"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_fazhang_6_auto_movespeed"			"+$auto_movespeed"
"DOTA_Tooltip_ability_item_fazhang_7"							"神杖★"
"DOTA_Tooltip_ability_item_fazhang_7_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_fazhang_7_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_7_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_7_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_7_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_7_auto_health"				"+$auto_health"
"DOTA_Tooltip_ability_item_fazhang_7_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_fazhang_7_auto_physical_armor"		"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_fazhang_7_auto_magical_resistance"	"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_fazhang_7_auto_movespeed"			"+$auto_movespeed"
"DOTA_Tooltip_ability_item_fazhang_7_bonus_stats"				"+全属性"
"DOTA_Tooltip_ability_item_fazhang_8"							"神杖★★"
"DOTA_Tooltip_ability_item_fazhang_8_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_fazhang_8_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_8_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_8_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_8_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_8_auto_health"				"+$auto_health"
"DOTA_Tooltip_ability_item_fazhang_8_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_fazhang_8_auto_physical_armor"		"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_fazhang_8_auto_magical_resistance"	"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_fazhang_8_auto_movespeed"			"+$auto_movespeed"
"DOTA_Tooltip_ability_item_fazhang_8_bonus_stats"				"+全属性"
"DOTA_Tooltip_ability_item_fazhang_9"							"神杖★★★"
"DOTA_Tooltip_ability_item_fazhang_9_Description"				"<h1>主动：奥术冲击</h1>对目标点%radius%范围造成主属性%damage%倍的伤害。每点距离消耗1点魔法，魔法耗尽会导致冷却时间翻倍。\n<h1>被动：格挡</h1>%avoid_chance%%%几率完全格挡伤害\n一把融合了大部分物品的神器"
"DOTA_Tooltip_ability_item_fazhang_9_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_fazhang_9_auto_spell_amp"			"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_fazhang_9_auto_attack"				"+$auto_attack"
"DOTA_Tooltip_ability_item_fazhang_9_auto_int"					"+$auto_int"
"DOTA_Tooltip_ability_item_fazhang_9_auto_health"				"+$auto_health"
"DOTA_Tooltip_ability_item_fazhang_9_auto_mana"					"+$auto_mana"
"DOTA_Tooltip_ability_item_fazhang_9_auto_physical_armor"		"+$auto_physical_armor"
"DOTA_Tooltip_ability_item_fazhang_9_auto_magical_resistance"	"+$auto_magical_resistance"
"DOTA_Tooltip_ability_item_fazhang_9_auto_movespeed"			"+$auto_movespeed"
"DOTA_Tooltip_ability_item_fazhang_9_bonus_stats"				"+全属性"

"DOTA_Tooltip_ability_item_gong_1"								"猩红毒牙弓"
"DOTA_Tooltip_ability_item_gong_1_Description"					"<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n一把远程普通的弓"
"DOTA_Tooltip_ability_item_gong_1_Lore"							"一种猛兽的毒牙制成的分裂弓。"
"DOTA_Tooltip_ability_item_gong_1_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_1_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_1_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_1_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_2"								"鹰角弓"
"DOTA_Tooltip_ability_item_gong_2_Description"					"<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n传说中遗迹之战的弓箭"
"DOTA_Tooltip_ability_item_gong_2_Lore"							"据说能强大的战士能听见其奏鸣。"
"DOTA_Tooltip_ability_item_gong_2_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_2_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_2_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_2_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_3"								"夜鹰弓"
"DOTA_Tooltip_ability_item_gong_3_Description"					"<h1>被动：分裂攻击</h1>使得远程普通攻击后会分裂出%split_count%次额外的攻击，并且附加%magical_damage_pct%%%攻击力的魔法伤害，如果没有足够单位，分裂箭会选择重复目标\n<font color=\"#337ab7\">主手武器只能装备一件</font>\n暗夜一族的皇室配弓"
"DOTA_Tooltip_ability_item_gong_3_Lore"							"附加在上面的魔法能分裂出更多的弓箭。"
"DOTA_Tooltip_ability_item_gong_3_Note0"						"主手武器只能装备一件"
"DOTA_Tooltip_ability_item_gong_3_auto_spell_amp"				"%+$auto_spell_amp"
"DOTA_Tooltip_ability_item_gong_3_auto_attack"					"+$auto_attack"
"DOTA_Tooltip_ability_item_gong_3_auto_agi"						"+$auto_agi"
"DOTA_Tooltip_ability_item_gong_4"								"古龙之弓"
