"DOTA_Tooltip_ability_item_zhanqi"	"哥布林战旗"
"DOTA_Tooltip_ability_item_zhanqi_Description"	"<h1>被动：战鼓</h1>为900范围的友军提供攻击力与攻速加成\n哥布林部落的战旗，能唤起周围单位的战斗欲望"
"DOTA_Tooltip_ability_item_zhanqi_bonus_health"	"生命值："
"DOTA_Tooltip_ability_item_zhanqi_bonus_mana"	"魔法值："
"DOTA_Tooltip_ability_item_zhanqi_bonus_health_regen"	"生命回复："
"DOTA_Tooltip_ability_item_zhanqi_bonus_mana_regen"	"魔法回复："
"DOTA_Tooltip_ability_item_zhanqi_bonus_attack_speed"	"光环攻击速度："
"DOTA_Tooltip_modifier_item_zhanqi_buff"	"哥布林光环"
"DOTA_Tooltip_modifier_item_zhanqi_buff_Description"	"该单位的攻击力与攻击速度得到提升"
"DOTA_Tooltip_ability_item_zhanqi_bonus_attack"	"%光环攻击力："
"DOTA_Tooltip_ability_item_zhanqi_radius"	"光环影响范围："
"DOTA_Tooltip_ability_item_xiongpi"	"熊皮斗篷"
"DOTA_Tooltip_ability_item_xiongpi_Description"	"<h1>被动：伤害减免</h1>减少所有类型的伤害\n坚韧的熊皮制成的斗篷，能挡住一部分的伤害"
"DOTA_Tooltip_ability_item_xiongpi_Note0"	"所有伤害都能格挡"
"DOTA_Tooltip_ability_item_xiongpi_bonus_attack"	"%攻击力："
"DOTA_Tooltip_ability_item_xiongpi_bonus_attack_speed"	"攻击速度："
"DOTA_Tooltip_ability_item_xiongpi_radius"	"影响范围："
"DOTA_Tooltip_ability_item_xiongpi_damage_block"	"伤害减免："
"DOTA_Tooltip_ability_item_xiongpi_bonus_armor"	"护甲："
"DOTA_Tooltip_ability_item_hexin"	"奇怪的核心"
"DOTA_Tooltip_ability_item_hexin_Description"	"<h1>被动：自我修复</h1>每击杀一个单位将回复%heal_percent%%%的生命与魔法。\n似乎是控制石头人的核心"
"DOTA_Tooltip_ability_item_hexin_Lore"	"大概这就是石头人活了这么久的原因"
"DOTA_Tooltip_ability_item_hexin_damage_block"	"伤害减免："
"DOTA_Tooltip_ability_item_hexin_bonus_armor"	"护甲："
"DOTA_Tooltip_ability_item_hexin_bonus_health"	"生命值："
"DOTA_Tooltip_ability_item_hexin_bonus_mana"	"魔法值："
"DOTA_Tooltip_ability_item_hexin_heal_percent"	"%修复百分比："
"DOTA_Tooltip_ability_item_zhangu"	"古之忍耐姜歌"
"DOTA_Tooltip_ability_item_zhangu_Description"	"<h1>主动：击鼓</h1>激活所有的充能点数，每点充能回复20点生命与8点魔法，并赋予10秒的吸血效果\n<h1>被动：战鼓</h1>为900范围的友军提供攻击力与攻速加成\n<h1>被动：忍耐</h1>每受到一次伤害将获得一点充能\n远古部落流传下来的强韧战鼓"
"DOTA_Tooltip_ability_item_zhangu_Lore"	"经历过各种远古战役依然完好无损"
"DOTA_Tooltip_ability_item_zhangu_bonus_health"	"生命值："
"DOTA_Tooltip_ability_item_zhangu_bonus_mana"	"魔法值："
"DOTA_Tooltip_ability_item_zhangu_heal_percent"	"%生命回复："
"DOTA_Tooltip_modifier_item_zhangu_buff"	"战鼓光环"
"DOTA_Tooltip_modifier_item_zhangu_buff_Description"	"该单位的攻击力与攻击速度得到提升"
"DOTA_Tooltip_ability_item_zhangu_bonus_armor"	"护甲："
"DOTA_Tooltip_ability_item_zhangu_damage_block"	"伤害减免："
"DOTA_Tooltip_ability_item_zhangu_bonus_attack"	"%光环攻击力："
"DOTA_Tooltip_ability_item_zhangu_bonus_attack_speed"	"光环攻击速度："
"DOTA_Tooltip_ability_item_zhangu_radius"	"光环影响范围："
"DOTA_Tooltip_ability_item_zhangu_heal_amount"	"每点充能生命回复："
"DOTA_Tooltip_ability_item_zhangu_mana_amount"	"每点充能魔法回复："
"DOTA_Tooltip_ability_item_zhangu_bonus_lifesteal"	"%击鼓生命吸取："
"DOTA_Tooltip_modifier_item_zhangu_xixue"	"击鼓"
"DOTA_Tooltip_modifier_item_zhangu_xixue_Description"	"该单位获得暂时的吸血效果"
"DOTA_Tooltip_ability_item_zhangu_duration"	"击鼓持续时间："
"DOTA_Tooltip_ability_item_recipe_zhangu"	"古之忍耐姜歌合成卷轴"

"DOTA_Tooltip_ability_item_zhuanshu"	"专属装备"
"DOTA_Tooltip_ability_item_zhuanshu_Description"	"完成任务后将获得一件英雄独有的装备。"
		"DOTA_Tooltip_Ability_item_yunshizhaohuan"	"陨星之核"
		"DOTA_Tooltip_Ability_item_yunshizhaohuan_Description"	"<h1>被动：陨石天降</h1>召唤一个陨石从天而降\n你确定要使用这个东西吗？使用后也许会带来毁灭性的后果。"
		"DOTA_Tooltip_Ability_item_yunshizhaohuan_Lore"	"来自赤雨的陨石"
