"DOTA_Tooltip_ability_item_ring_1"	"晨辉之戒"
"DOTA_Tooltip_ability_item_ring_1_Description"	"<h1>被动：晨辉</h1>早晨的阳光给你带来%health_regen_percent%%%每秒的生命魔法回复\n早晨来临之时赋予佩带者晨辉效果。主动使用将暂时获得晨辉效果。"
"DOTA_Tooltip_ability_item_ring_1_Lore"	"早晨的阳光能带给你温暖"
"DOTA_Tooltip_ability_item_ring_1_hp_regen"	"生命回复："
"DOTA_Tooltip_ability_item_ring_1_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_2"	"宝石之戒"
"DOTA_Tooltip_ability_item_ring_2_Description"	"<h1>被动：虚荣</h1>宝石的闪耀提升%gold_gain_percent%%的金钱获取率\n日光来临之时赋予佩带者虚荣效果。主动使用将暂时获得虚荣效果。"
"DOTA_Tooltip_ability_item_ring_2_Lore"	"女人都爱宝石"
"DOTA_Tooltip_ability_item_ring_2_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_3"	"恶魔之戒"
"DOTA_Tooltip_ability_item_ring_3_Description"	"<h1>被动：恶魔之血</h1>恶魔的力量提升%property_percent%%%的主属性\n白昼行将，赋予佩带者恶魔之血效果。主动使用将暂时获得恶魔之血效果。"
"DOTA_Tooltip_ability_item_ring_3_Lore"	"恶魔的配戒"
"DOTA_Tooltip_ability_item_ring_3_bonus_stats"	"+全属性"
"DOTA_Tooltip_modifier_item_ring_3_buff"	"虚荣"
"DOTA_Tooltip_modifier_item_ring_3_buff_Description"	"每击杀一只怪额外获得10的金钱"
"DOTA_Tooltip_ability_item_ring_4"	"石化妖目童"
"DOTA_Tooltip_ability_item_ring_4_Description"	"<h1>被动：石化</h1>石化的皮肤减少%damage_reduce_percent%%%所受到的伤害\n夜幕来临之时赋予佩带者石化效果。主动使用将暂时获得石化效果。"
"DOTA_Tooltip_ability_item_ring_4_Lore"	"美杜莎的眼睛"
"DOTA_Tooltip_ability_item_ring_4_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_5"	"诡丝重目童"
"DOTA_Tooltip_ability_item_ring_5_Description"	"<h1>被动：诡丝重目童</h1>精准的找出敌人的弱点提升%damage_percent%%%的所有伤害\n凌晨来临之时赋予佩带者诡丝重目童效果。主动使用将暂时获得诡丝重目童效果。"
"DOTA_Tooltip_ability_item_ring_5_Lore"	"深渊魔眼"
"DOTA_Tooltip_ability_item_ring_5_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_6"	"黑夜之戒"
"DOTA_Tooltip_ability_item_ring_6_Description"	"<h1>被动：长夜</h1>漫漫长夜减少%cooldown_reduce%秒的技能冷却时间\n长夜来临之时赋予佩带者长夜效果。主动使用将暂时获得长夜效果。"
"DOTA_Tooltip_ability_item_ring_6_Lore"	"夜神夜神夜神"
"DOTA_Tooltip_ability_item_ring_6_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_shop"	"未知的戒指"
"DOTA_Tooltip_ability_item_ring_shop_Description"	"一枚未知的戒指，隐藏着未知的秘密"
"DOTA_Tooltip_ability_item_ring_shop_bonus_stats"	"全属性："
"DOTA_Tooltip_ability_item_ring_broken"	"破碎的隐秘之戒"
"DOTA_Tooltip_ability_item_recipe_ring_broken"	"破碎的隐秘之戒合成卷轴"
"DOTA_Tooltip_ability_item_ring_world"	"创世之戒"
"DOTA_Tooltip_ability_item_ring_world_Description"	"<h1>被动：创世之力</h1>使得所有戒指效果无视时间影响\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n创世神创造世界后将剩余的神力注入6枚戒指中，通过组合不同的戒指能掌握一部分创世之力。"
"DOTA_Tooltip_ability_item_ring_world_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_world_broken"	"破碎的创世之戒"
"DOTA_Tooltip_ability_item_recipe_ring_world_broken"	"破碎的封印之戒合成卷轴"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_stats"	"+全属性"
"DOTA_Tooltip_ability_item_ring_broken_bonus_stats"	"全属性："
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_health"	"+生命值"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_hp_regen"	"+生命回复"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_mana"	"+魔法值"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_mp_regen"	"+魔法回复"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_armor"	"+护甲"
"DOTA_Tooltip_ability_item_ring_world_broken_damage_block"	"+伤害格挡"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_attack"	"+%攻击力"
"DOTA_Tooltip_ability_item_ring_world_broken_bonus_attack_speed"	"+攻击速度"
"DOTA_Tooltip_ability_item_ring_world_broken_Description"	"<h1>被动：破碎的创世之力</h1>使得所有戒指效果无视时间影响\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n、创世神创造世界后将剩余的神力注入6枚戒指中，相同的戒指只能掌握一部分破碎的创世之力。"

"DOTA_Tooltip_ability_item_ring_secret"	"隐秘之戒"
"DOTA_Tooltip_ability_item_ring_secret_Description"	"<h1>被动：隐秘</h1>当戒指碎片的力量激发时将获得隐秘之戒的力量\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n不同的戒指碎片激发出隐藏了力量，主动使用将短暂获得隐秘效果。"
"DOTA_Tooltip_ability_item_ring_secret_Lore"	"通过这枚戒指能找到力量的根源"
"DOTA_Tooltip_ability_item_ring_secret_bonus_stats"	"全属性："
"DOTA_Tooltip_ability_item_recipe_ring_secret"	"隐秘之戒合成卷轴"
"DOTA_Tooltip_ability_item_ring_world_bonus_health"	"+生命值"
"DOTA_Tooltip_ability_item_ring_world_bonus_mana"	"+魔法值"
"DOTA_Tooltip_ability_item_ring_world_bonus_hp_regen"	"+生命回复"
"DOTA_Tooltip_ability_item_ring_world_bonus_mp_regen"	"+魔法回复"
"DOTA_Tooltip_ability_item_ring_world_bonus_armor"	"+护甲"
"DOTA_Tooltip_ability_item_ring_world_damage_block"	"+伤害格挡"
"DOTA_Tooltip_ability_item_ring_world_bonus_attack"	"+%攻击力"
"DOTA_Tooltip_ability_item_ring_world_bonus_attack_speed"	"+攻击速度"
"DOTA_Tooltip_ring_0_1"	"晨辉"
"DOTA_Tooltip_ring_0_1_Description"	"早晨的阳光给你带来6%%每秒的生命魔法回复"
"DOTA_Tooltip_ring_0_2"	"虚荣"
"DOTA_Tooltip_ring_0_2_Description"	"宝石之光提升25%的金钱获取率"
"DOTA_Tooltip_ring_0_3"	"魔血"
"DOTA_Tooltip_ring_0_3_Description"	"恶魔的力量提升10%%的全属性"
"DOTA_Tooltip_ring_0_4"	"石化"
"DOTA_Tooltip_ring_0_4_Description"	"石化的皮肤减少10%%所受到的伤害"
"DOTA_Tooltip_ring_0_5"	"瞳术"
"DOTA_Tooltip_ring_0_5_Description"	"精准的找出敌人的弱点提升10%%的所有伤害"
"DOTA_Tooltip_ring_0_6"	"长夜"
"DOTA_Tooltip_ring_0_6_Description"	"减少1秒的技能冷却时间"
"DOTA_Tooltip_ring_1_1"	"破碎的晨辉"
"DOTA_Tooltip_ring_1_1_Description"	"早晨的阳光给你带来6%%每秒的生命魔法回复"
"DOTA_Tooltip_ring_2_2"	"破碎的虚荣"
"DOTA_Tooltip_ring_2_2_Description"	"宝石之光提升25%的金钱获取率"
"DOTA_Tooltip_ring_3_3"	"破碎的恶魔之血"
"DOTA_Tooltip_ring_3_3_Description"	"恶魔的力量提升10%%的主属性"
"DOTA_Tooltip_ring_4_4"	"破碎的石化"
"DOTA_Tooltip_ring_4_4_Description"	"石化的皮肤减少10%%所受到的伤害"
"DOTA_Tooltip_ring_5_5"	"破碎的目童术"
"DOTA_Tooltip_ring_5_5_Description"	"精准的找出敌人的弱点提升10%%的所有伤害"
"DOTA_Tooltip_ring_6_6"	"破碎的长夜"
"DOTA_Tooltip_ring_6_6_Description"	"减少1秒的技能冷却时间"
"DOTA_Tooltip_ring_1_2"	"荣光"
"DOTA_Tooltip_ring_1_2_Description"	"每攻击一次回复8%%的生命/魔法"
"DOTA_Tooltip_ring_1_3"	"魔龙之心"
"DOTA_Tooltip_ring_1_3_Description"	"每200点力量/智力提升1%%/s的生命/魔法回复"
"DOTA_Tooltip_ring_1_4"	"魔纹血钻"
"DOTA_Tooltip_ring_1_4_Description"	"受到伤害时有15%%的几率回复20%%的生命"
"DOTA_Tooltip_ring_1_5"	"狂战士"
"DOTA_Tooltip_ring_1_5_Description"	"每减少10%%生命提升20%%的所有伤害"
"DOTA_Tooltip_ring_1_6"	"辉夜"
"DOTA_Tooltip_ring_1_6_Description"	"施放技能有50%%的几率减少50%%的冷却"
"DOTA_Tooltip_ring_2_3"	"贪魔"
"DOTA_Tooltip_ring_2_3_Description"	"每攻击一次提升2%%的主属性，持续10秒"
"DOTA_Tooltip_ring_2_4"	"极光屏障"
"DOTA_Tooltip_ring_2_4_Description"	"每受到一次攻击减少1%%的所有伤害，持续10秒"
"DOTA_Tooltip_ring_2_5"	"破环死光"
"DOTA_Tooltip_ring_2_5_Description"	"每攻击一次提升2%%的所有伤害，持续10秒"
"DOTA_Tooltip_ring_2_6"	"夜光"
"DOTA_Tooltip_ring_2_6_Description"	"每击杀一个单位减少1秒的技能冷却，内置冷却1.5秒"
"DOTA_Tooltip_ring_3_4"	"石化凝视"
"DOTA_Tooltip_ring_3_4_Description"	"受到伤害时使目标减少50%%的伤害输出，持续10秒"
"DOTA_Tooltip_ring_3_5"	"圣魔纹章"
"DOTA_Tooltip_ring_3_5_Description"	"造成技能伤害时有50%%的几率造成双倍伤害"
"DOTA_Tooltip_ring_3_6"	"暗夜魔王"
"DOTA_Tooltip_ring_3_6_Description"	"每次施法提升15%%的主属性，持续10秒"
"DOTA_Tooltip_ring_4_5"	"诡丝双目童"
"DOTA_Tooltip_ring_4_5_Description"	"受到伤害时减少25%%的伤害并反弹主属性伤害给周围单位"
"DOTA_Tooltip_ring_4_6"	"石像鬼"
"DOTA_Tooltip_ring_4_6_Description"	"每次施法后一秒内免疫所有伤害并魔法免疫"
"DOTA_Tooltip_ring_5_6"	"血夜"
"DOTA_Tooltip_ring_5_6_Description"	"施法后提升25%%的所有伤害，持续10秒"

"DOTA_Tooltip_ability_item_recipe_ring_world"	"创世之戒合成卷轴"
"DOTA_Tooltip_ability_item_ring_broken_Description"	"<h1>被动：破碎的隐秘</h1>当戒指碎片的力量激发时将获得破碎的隐秘之戒的力量\n<h1>被动</h1>描述\n<h1>被动</h1>描述\n相同的戒指碎片不足以激发出隐藏了力量，主动使用将短暂获得破碎的隐秘效果。"
"DOTA_Tooltip_ability_item_ring_world_broken_Lore"	"凡人无法承受多于两枚戒指的创世之力"
"DOTA_Tooltip_ability_item_ring_world_Lore"	"凡人无法承受多于两枚戒指的创世之力"
"DOTA_Tooltip_Ability_item_ronghe"	"融合"
"DOTA_Tooltip_Ability_item_ronghe_Description"	"将两枚戒指融合在一起，根据戒指的不同有可能发生奇妙的反应"
"DOTA_Tooltip_Ability_item_ronghe_Lore"	"1+1不一定等于2"
