"addon"
{
	"damage"								"Boss伤害百分比"
	"score"									"通关积分"
	"level"									"等级"
	"str"									"力量"
	"agi"									"敏捷"
	"int"									"智力"
	"gold"									"获取金钱总量"
	"practice"								"练功房傀儡击杀数量"
	"wave_def"								"防守数量"
	"exp_rate"								"经验获取率"
	"gold_rate"								"金钱获取率"
	"str_gain"								"力量成长"
	"agi_gain"								"敏捷成长"
	"int_gain"								"智力成长"
	"win"									"雅典娜的走狗胜利"
	"lost"									"正义人士成功推倒雅典娜"
	"QuestKillDemon"						"杀死地狱火焰恶魔："
	"QuestKillGolem"						"杀死石头人："
	"QuestKillBeast"						"杀死2只地狱熊怪："
	"QuestKillKobold"						"杀死3只哥布林领主："
	"QuestKillDragon"						"杀死试炼小兵："
	"poseidon"								"波塞冬"
	"nec"									"哈迪斯"
	"zeus"									"宙斯"
	"rush_1"								"巨魔之潮"
	"rush_2"								"外星入侵"
	"rush_3"								"白夜诅咒"
	"eqiut_limit"							"你已经拥有一个同类装备"
	"hero_cant_pick"						"未输入隐藏英雄密码，将随机选择一个英雄"
	"time_remaining"						"剩余时间："
	"ring_limit"							"你只能购买两个戒指"
	"courier_cant_pick"						"信使10秒内不可拾取掉落物品"
	"pick_reborn"							"这不是你的转生证明"
	"vacuum_tip"							"目标点不可传送"
	"HeroListHeader"						"选择英雄"
	"PasswordInput"							"隐藏英雄购买"
	"PasswordTip1"							"旧版密码输入框"
	"PasswordTip2"							"新版购买接口，购买后无需输入自动激活"
	"PasswordTip3"							"输入兑换码"
	"PasswordTip4"							"点击领取"
	"quit_game"								"结束游戏"
	"HardSelect"							"难度选择"
	"EasyButton"							"简单"
	"NormalButton"							"普通"
	"HardButton"							"困难"
	"DemonButton"							"噩梦"
	"TeamButton"							"团队"
	"NoSelect"								"未选择"
	"SelectHero"							"选择英雄"
	"EasyDifficulty"						"难度：简单"
	"NormalDifficulty"						"难度：普通"
	"HardDifficulty"						"难度：困难"
	"DemonDifficulty"						"难度：噩梦"
	"TeamDifficulty"						"难度：团队"
	"RushTimeRemaining"						"第%wave波进攻还剩%time秒"
	"MonsterRemaining"						"第%wave波怪剩余数量 %count/%maxcount"
	"PlayerHeader"							"玩家"
	"ScoreboardHeader"						"计分表"
	"npc_dota_hero_omniknight"				"机械师"
	"npc_dota_hero_windrunner"				"风行者"
	"npc_dota_hero_phantom_assassin"		"影月守望者"
	"npc_dota_hero_rubick"					"时空魔术师"
	"npc_dota_hero_juggernaut"				"星辰剑圣"
	"npc_dota_hero_antimage"				"恶魔猎手"
	"npc_dota_hero_lina"					"莉莉丝"
	"npc_dota_hero_legion_commander"		"希波吕忒"
	"npc_dota_hero_ember_spirit"			"火焰之灵"
	"npc_dota_hero_templar_assassin"		"天启者"
	"npc_dota_hero_nevermore"				"塔耳塔洛斯"
	"hg"	"立刻回到雅典娜身旁(快捷键J)"
	"hp_tip"	"消耗1000金币提升雅典娜1000点生命值<br>使用者将获得1-5点的力量提升<br>每次升级后获得的生命值、消耗的金钱与提升的属性都将提高10%"
	"armor_tip"	"消耗1000点金币提升雅典娜1点护甲<br>使用者将获得1-5点的敏捷提升<br>每次升级后获得的生命值、消耗的金钱与提升的属性都将提高10%"
	"regen_tip"	"消耗1000点金币提升雅典娜10点生命回复<br>使用者将获得1-5点的智力提升<br>每次升级后获得的生命值、消耗的金钱与提升的属性都将提高10%"
	"difficulty_tip"						"1.以票数多的难度优先<br>2.票数相同时以难度高的优先<br>3.没有人选择难度时默认普通难度"
	"quest"	"任务"
	"questtext"	"击杀数量"
	
	"KillKoboldLord"						"击杀哥布林领主："
	"KillHellBeast"							"击杀地狱熊怪："
	"KillAcientGolem"						"击杀石头人："
	"KillFireDemon"							"击杀地狱火焰恶魔："
	"KillDragon"							"击杀黑龙："
	"Trial"									"击杀试炼小兵："
	
	"KillKoboldLordAccept"					"我这有一个赏金任务，帮我杀死3只【哥布林领主】，我会给你一些独特的奖励。"
	"KillHellBeastAccept"					"这里又有一个新的赏金任务，帮我杀死2只【地狱熊怪】，报酬会让你满意的。"
	"KillAcientGolemAccept"					"帮我杀死那只【大石头】，报酬是一个神秘礼物。"
	"KillFireDemonAccept"					"如果你能帮我击杀掉那只【火焰恶魔】，我会给你一个特殊召唤物"
	"KillDragonAccept"						"杀死15只【黑龙】来证明你的实力"
	"TrialAccept"							"击杀试炼小兵来证明自己的实力"

	"KillKoboldLordInprogress"				"你以为我会算错数量吗?"
	"KillHellBeastInprogress"				"完成任务了再回来找我吧。"
	"KillAcientGolemInprogress"				"你在逗我，那个大个子还在那把?"
	"KillFireDemonInprogress"				"还没有杀掉吗?"
	"KillDragonInprogress"					"还不够"
	"TrialInprogress"						"完成试炼再回来找我"

	"KillKoboldLordFinish"					"这是给你的奖励"
	"KillHellBeastFinish"					"这是给你的奖励"
	"KillAcientGolemFinish"					"这是给你的奖励，收好了。"
	"KillFireDemonFinish"					"这是一个特殊的召唤物，请不要在家玩火。"
	"KillDragonFinish"						"这是给你的专属装备。"
	"TrialFinish"							"这是给你的专属装备。"

	"KillAcientGolemNoquest"				"我已经没有任务给你了。"
	"KillFireDemonNoquest"					"我已经没有任务给你了。"
	"KillDragonNoquest"						"你已经完成了专属任务。"
	"Noquest"								"我已经没有任务给你了。"

	"KillDragonFail"						"请转生之后再来把。"

	"shop"	"商店"
	"def_point"	"防守积分"
	"practice_point"	"练功积分"
	"boss_point"	"通关积分"
	"cost"	"需求："
	"reward"	"奖励："
	"score_button"	"计分板 ( ` )"
	"quest_button"	"任务 ( K )"
	"shop_button"	"商店 ( U )"
}

