"lang"
{
	"Language"		"English"
	"Tokens"
	{
		"DOTA_Tooltip_modifier_wing"	"恶魔之翼"
		"DOTA_Tooltip_modifier_wing_Description"	"提升100点全属性<br></br>增加30%%移动速度<br></br>减少技能2秒冷却<br></br>减免20%%的所有伤害"
		"DOTA_Tooltip_modifier_singlehero"	"孤胆英雄"
		"DOTA_Tooltip_modifier_singlehero_Description"	"提升20点全属性<br></br>增加20%%移动速度<br></br>增加20点攻击<br></br>增加获得的金钱与经验"
		"DOTA_Tooltip_modifier_guarding_1"	"守护勇者"
		"DOTA_Tooltip_modifier_guarding_1_Description"	"提升20点全属性<br></br>这是雅典娜对你积极守护的奖励"
		"DOTA_Tooltip_modifier_guarding_2"	"守护骑士"
		"DOTA_Tooltip_modifier_guarding_2_Description"	"提升50点全属性<br></br>这是雅典娜对你积极守护的奖励"
		"DOTA_Tooltip_modifier_guarding_3"	"圣骑士"
		"DOTA_Tooltip_modifier_guarding_3_Description"	"提升100点全属性<br></br>这是雅典娜对你积极守护的奖励"
		"DOTA_Tooltip_modifier_guarding_4"	"圣斗士"
		"DOTA_Tooltip_modifier_guarding_4_Description"	"提升200点全属性<br></br>这是雅典娜对你积极守护的奖励"
		"DOTA_Tooltip_ability_healthincrease"	"生命提升"
		"DOTA_Tooltip_ability_healthincrease_Description"	"消耗1000金币提升雅典娜1000点生命值"
		"DOTA_Tooltip_ability_regenincrease"	"回复提升"
		"DOTA_Tooltip_ability_regenincrease_Description"	"消耗1000金币提升雅典娜5点生命回复"
		"DOTA_Tooltip_ability_armorincrease"	"护甲提升"
		"DOTA_Tooltip_ability_armorincrease_Description"	"消耗1000金币提升雅典娜1点护甲"
		"DOTA_Tooltip_ability_anneal"	"磨练"
		"DOTA_Tooltip_ability_anneal_Description"	"磨练你的金钱和经验，根据造成的伤害将给以你奖励。最高奖励100金钱与经验"
		"DOTA_Tooltip_ability_singlehero"	"孤胆英雄"
		"DOTA_Tooltip_ability_singlehero_Description"	"提升20点全属性<br></br>增加20%%移动速度<br></br>增加20点攻击<br></br>增加获得的金钱与经验"
		"DOTA_Tooltip_ability_athena_heal"	"回复术"
		"DOTA_Tooltip_modifier_athena_heal_2"	"无敌"
		"DOTA_Tooltip_modifier_athena_heal_3"	"魔免"
		
		"DOTA_Tooltip_ability_athena_reborn"	"雅典娜重生"
		"DOTA_Tooltip_ability_tt1"	"享受健康生活"
		"DOTA_Tooltip_ability_tt2"	"合理安排时间"
		"DOTA_Tooltip_ability_tt3"	"岂因祸福避趋之"
		"DOTA_Tooltip_ability_tt3_Description"	"沉迷游戏伤身"
		"DOTA_Tooltip_ability_tt4"	"苟利国家生死以"
		"DOTA_Tooltip_ability_tt4_Description"	"适度游戏益脑"
		"DOTA_Tooltip_ability_tt5"	"谨防受骗上当"
		"DOTA_Tooltip_ability_tt6"	"注意自我保护"
		"DOTA_Tooltip_ability_tt7"	"拒绝盗版游戏"
		"DOTA_Tooltip_ability_tt8"	"抵制不良游戏"
		
		"DOTA_Tooltip_ability_quest_aura"	"任务"
		
		"DOTA_Tooltip_ability_athena_guard"	"埃癸斯的守护"
		"DOTA_Tooltip_ability_athena_guard_Description"	"使用后减少雅典娜受到的伤害并提供一个全地图的光环效果。<br></br><font color=\"#5bc0de\">守护光环</font>：提升全地图友军的护甲并减少一定百分比的伤害。<br></br>雅典娜每级<font color=\"#d9534f\">护甲</font>属性提升1点护甲<br></br>雅典娜每级<font color=\"#d9534f\">护甲</font>属性提升0.5%%伤害减免<br></br>雅典娜每级<font color=\"#d9534f\">生命</font>属性提升1秒持续时间"
		"DOTA_Tooltip_modifier_ciba"	"大家好我是糍粑"
		"DOTA_Tooltip_ability_ciba"	"大家好我是糍粑"
		"DOTA_Tooltip_ability_athena_guard_reduce"	"雅典娜伤害减免："
		"DOTA_Tooltip_ability_athena_guard_armor"	"光环提供护甲："
		"DOTA_Tooltip_ability_athena_guard_def"	"光环提供伤害减免："
		"DOTA_Tooltip_ability_athena_guard_duration"	"光环持续时间："
		"DOTA_Tooltip_ability_athena_guard_cooldown"	"光环冷却："
		"DOTA_Tooltip_ability_athena_heal_Description"	"自动对周围友方单位施放回复术，持续回复生命与魔法。<br></br>雅典娜每级<font color=\"#d9534f\">回复</font>属性提升40点生命回复<br></br>雅典娜每级<font color=\"#d9534f\">回复</font>属性提升8点魔法回复<br></br>雅典娜每级<font color=\"#d9534f\">生命</font>属性提升1秒持续时间"
		"DOTA_Tooltip_ability_athena_heal_health"	"每秒生命回复："
		"DOTA_Tooltip_ability_athena_heal_mana"	"每秒魔法回复："
		"DOTA_Tooltip_ability_athena_heal_duration"	"Duration: "
		"DOTA_Tooltip_ability_athena_heal_cooldown"	"冷却时间："
		
		"DOTA_Tooltip_ability_shield_block"	"盾反"
		"DOTA_Tooltip_ability_shield_block_Description"	"受到伤害时有一定几率清除身上负面效果并举起盾牌防御，持续%duration%秒。持续时间内收到伤害将反弹该次伤害并对目标造成%stun_duration%秒晕眩。反弹后攻速将提升%attackspeed_duration%%%"
		"DOTA_Tooltip_ability_trial"	"试炼"
		"DOTA_Tooltip_ability_trial_Description"	"该单位生命，攻击，护甲为试炼者的500%%，试练者每级将提升10%%。且该单位只受到试练者的伤害，试炼者无法在结界范围外造成伤害。"
		"DOTA_Tooltip_ability_courier_suicide"	"草泥马的自杀"
		"DOTA_Tooltip_ability_courier_suicide_Description"	"意外卡住时用来自杀"
		"DOTA_Tooltip_ability_elite"	"精英"
		"DOTA_Tooltip_ability_item_stat_modifier"	"属性修正"
		"DOTA_Tooltip_ability_item_bet_1"	"赌博"
		"DOTA_Tooltip_ability_water_shield_attackspeed"	"攻速减少："
		"DOTA_Tooltip_ability_water_shield_radius"	"Radius: "
		"DOTA_Tooltip_ability_bash"	"残废"
		"DOTA_Tooltip_ability_bash_Description"	"攻击有%chance%%%的几率对目标造成%damage%%%伤害与残废效果，残废状态下攻速与移速各减少50%%，持续%duration%秒。"
		"DOTA_Tooltip_ability_mana_break"	"法力损毁"
		"DOTA_Tooltip_ability_mana_break_Description"	"攻击有%chance%%%的几率损毁目标%mana%%%的魔法值并造成等量伤害，根据目标当前魔法百分比造成额外伤害，目标每损失1%%的魔法值，额外造成2%%的伤害。"
		"DOTA_Tooltip_ability_item_exclusive_trial"	"试炼"
		"DOTA_Tooltip_ability_item_exclusive_trial_Description"	"开启试炼，通过试炼将获得专属装备。"
		"DOTA_Tooltip_ability_elite_Description"	"精英怪拥有额外的攻击、生命、护甲与攻速，额外的属性跟难度与波数成正比。"
		
		"DOTA_Tooltip_ability_athena_heal_radius"	"Radius: "
		"DOTA_Tooltip_modifier_athena_guard_buff"	"埃癸斯的守护"
		"DOTA_Tooltip_modifier_athena_guard_buff_Description"	"该单位受到较少的伤害"
		
		"DOTA_Tooltip_ability_boss"	"Boss"
		"DOTA_Tooltip_ability_boss_Description"	"单次伤害不会超过最大生命值的%damage_limit%%%，且每受到%damage_limit%%%的伤害就会获得一次减伤效果，减伤效果随时间递减。"
		"DOTA_Tooltip_ability_boss_damage_reduce"	"%伤害减少："
		
		
		"DOTA_Tooltip_ability_demon_chains_1"	"烈焰之拳"
		"DOTA_Tooltip_ability_demon_chains_1_Description"	"攻击时对目标周围的单位造成额外伤害。攻击后有几率触发狂乱，在短时间内进行急速攻击。"
		"DOTA_Tooltip_ability_demon_chains_1_bonus_damage"	"召唤者主属性伤害系数："
		"DOTA_Tooltip_ability_demon_chains_1_cleave_radius"	"伤害范围："
		"DOTA_Tooltip_ability_demon_chains_2"	"献祭"
		"DOTA_Tooltip_ability_demon_chains_2_Description"	"燃烧周围的单位，使他们受到持续伤害。"
		"DOTA_Tooltip_ability_demon_chains_2_damage"	"召唤者主属性伤害系数："
		"DOTA_Tooltip_ability_demon_chains_2_radius"	"Radius: "
		"DOTA_Tooltip_ability_demon_chains_3"	"魔鬼祭祀"
		"DOTA_Tooltip_ability_demon_chains_3_Description"	"提升周围友方单位的战斗力"
		"DOTA_Tooltip_modifier_demon_chains_3_buff"	"魔鬼祭祀"
		"DOTA_Tooltip_modifier_demon_chains_3_buff_Description"	"提升战斗力"
		"DOTA_Tooltip_ability_demon_chains_3_aura_hp_regen_percent"	"光环提升百分比生命回复："
		"DOTA_Tooltip_ability_demon_chains_3_aura_attack_percent"	"光环提升百分比攻击力："
		"DOTA_Tooltip_ability_demon_chains_3_aura_attackspeed"	"光环提升攻击速度："
		"DOTA_Tooltip_ability_demon_chains_3_aura_radius"	"光环范围："
		
		"DOTA_Tooltip_ability_demon_chains_1_attackspeed"	"狂乱攻速："
		"DOTA_Tooltip_modifier_demon_chains_1_buff"	"狂乱"
